branch,s_ref_mm,u_ff_v,p_ff_bar
down,2.74,0.902,0.2
down,2.873668341708543,1,0.26
down,3.0073366834170856,1.101,0.3
down,3.1410050251256285,1.1759999999999997,0.3600000000000001
down,3.274673366834171,1.1759999999999997,0.41999999999999993
down,3.408341708542714,1.2069999999999999,0.41999999999999993
down,3.542010050251257,1.221,0.43999999999999995
down,3.6756783919597993,1.2539999999999996,0.45999999999999996
down,3.8093467336683418,1.2780000000000005,0.45999999999999996
down,3.9430150753768847,1.327,0.45999999999999996
down,4.076683417085428,1.327,0.49999999999999956
down,4.21035175879397,1.3559999999999999,0.5
down,4.344020100502513,1.4034999999999993,0.5
down,4.477688442211056,1.4034999999999993,0.54
down,4.611356783919598,1.4849999999999994,0.54
down,4.745025125628141,1.4849999999999994,0.5999999999999996
down,4.878693467336683,1.5625,0.5999999999999996
down,5.012361809045227,1.5625,0.6400000000000006
down,5.146030150753769,1.6334999999999997,0.6400000000000006
down,5.2796984924623125,1.6334999999999997,0.6799999999999997
down,5.413366834170855,1.6974999999999998,0.6799999999999997
down,5.547035175879397,1.6974999999999998,0.7200000000000006
down,5.68070351758794,1.7880000000000003,0.7200000000000006
down,5.814371859296482,1.7880000000000003,0.7799999999999994
down,5.948040201005026,1.8765,0.7799999999999994
down,6.081708542713568,1.8765,0.8399999999999999
down,6.215376884422112,1.9589999999999996,0.8399999999999999
down,6.349045226130654,1.9589999999999996,0.8800000000000008
down,6.4827135678391965,2.0174999999999983,0.8800000000000008
down,6.616381909547739,2.0174999999999983,0.9200000000000017
down,6.750050251256281,2.0854999999999997,0.9200000000000017
down,6.883718592964825,2.0854999999999997,0.9600000000000009
down,7.017386934673367,2.1709999999999994,0.9600000000000009
down,7.15105527638191,2.173000000000002,1
down,7.284723618090453,2.256999999999998,1.0199999999999996
down,7.418391959798996,2.2650000000000006,1.0599999999999987
down,7.552060301507538,2.343499999999999,1.0599999999999987
down,7.68572864321608,2.353999999999999,1.1000000000000014
down,7.819396984924624,2.4239999999999995,1.120000000000001
down,7.953065326633166,2.4239999999999995,1.1600000000000001
down,8.086733668341708,2.4834999999999994,1.1600000000000001
down,8.220402010050252,2.4834999999999994,1.1999999999999993
down,8.354070351758795,2.5449999999999946,1.1999999999999993
down,8.487738693467337,2.5449999999999946,1.240000000000002
down,8.62140703517588,2.603999999999999,1.240000000000002
down,8.755075376884424,2.603999999999999,1.259999999999998
down,8.888743718592966,2.661999999999999,1.259999999999998
down,9.022412060301509,2.661999999999999,1.2999999999999972
down,9.156080402010051,2.719000000000001,1.2999999999999972
down,9.289748743718594,2.719000000000001,1.3400000000000034
down,9.423417085427136,2.7794999999999987,1.3400000000000034
down,9.55708542713568,2.7794999999999987,1.3800000000000026
down,9.69075376884422,2.8359999999999985,1.3800000000000026
down,9.824422110552764,2.8359999999999985,1.3999999999999986
down,9.958090452261306,2.899499999999996,1.3999999999999986
down,10.091758793969849,2.899499999999996,1.4399999999999977
down,10.225427135678393,2.952999999999996,1.4399999999999977
down,10.359095477386935,2.952999999999996,1.4799999999999969
down,10.492763819095478,3.0010000000000048,1.4799999999999969
down,10.626432160804022,3.0010000000000048,1.5
down,10.760100502512564,3.0529999999999973,1.5
down,10.893768844221109,3.064000000000007,1.5399999999999991
down,11.02743718592965,3.1055000000000064,1.5399999999999991
down,11.161105527638192,3.1055000000000064,1.5600000000000023
down,11.294773869346734,3.163499999999999,1.5799999999999983
down,11.428442211055277,3.163499999999999,1.6000000000000014
down,11.56211055276382,3.2135000000000105,1.6000000000000014
down,11.695778894472362,3.2135000000000105,1.6400000000000006
down,11.829447236180906,3.269999999999996,1.6400000000000006
down,11.963115577889448,3.269999999999996,1.6599999999999966
down,12.096783919597993,3.3204999999999956,1.6599999999999966
down,12.230452261306532,3.3204999999999956,1.6800000000000068
down,12.364120603015076,3.3627500000000055,1.6800000000000068
down,12.497788944723618,3.3627500000000055,1.7199999999999989
down,12.63145728643216,3.4279999999999973,1.7199999999999989
down,12.765125628140703,3.4345,1.7399999999999949
down,12.898793969849248,3.4345,1.7800000000000011
down,13.03246231155779,3.5200000000000102,1.7800000000000011
down,13.166130653266332,3.5560000000000116,1.7999999999999972
down,13.299798994974877,3.562999999999988,1.8199999999999932
down,13.433467336683416,3.625,1.8400000000000034
down,13.56713567839196,3.625,1.8799999999999955
down,13.700804020100504,3.6669999999999874,1.8799999999999955
down,13.834472361809048,3.6669999999999874,1.9000000000000057
down,13.968140703517587,3.6970000000000027,1.9000000000000057
down,14.101809045226132,3.6970000000000027,1.9200000000000017
down,14.235477386934674,3.7349999999999994,1.9200000000000017
down,14.369145728643216,3.7349999999999994,1.9399999999999977
down,14.50281407035176,3.790999999999997,1.9599999999999937
down,14.636482412060303,3.8125,1.9599999999999937
down,14.770150753768846,3.8125,2
down,14.903819095477388,3.826999999999998,2
down,15.03748743718593,3.826999999999998,2
down,15.171155778894471,3.884749999999997,2
down,15.304824120603016,3.884749999999997,2.019999999999996
down,15.438492462311558,3.945999999999998,2.019999999999996
down,15.572160804020102,3.969999999999999,2.0600000000000023
down,15.705829145728645,3.9941666666666813,2.0799999999999983
down,15.839497487437187,3.9941666666666813,2.0999999999999943
down,15.97316582914573,3.9941666666666813,2.0999999999999943
down,16.10683417085427,4.052499999999981,2.0999999999999943
down,16.240502512562813,4.052499999999981,2.1399999999999864
down,16.374170854271355,4.099500000000006,2.1399999999999864
down,16.507839195979898,4.099500000000006,2.1599999999999966
down,16.641507537688444,4.152999999999992,2.1599999999999966
down,16.775175879396986,4.152999999999992,2.180000000000007
down,16.90884422110553,4.188500000000005,2.180000000000007
down,17.04251256281407,4.188500000000005,2.219999999999999
down,17.176180904522614,4.237000000000023,2.219999999999999
down,17.309849246231156,4.237000000000023,2.240000000000009
down,17.4435175879397,4.287499999999994,2.240000000000009
down,17.577185929648245,4.287499999999994,2.280000000000001
down,17.710854271356787,4.343500000000006,2.280000000000001
down,17.84452261306533,4.343500000000006,2.3000000000000114
down,17.978190954773872,4.405000000000001,2.3000000000000114
down,18.111859296482415,4.405000000000001,2.3400000000000034
down,18.245527638190957,4.4424999999999955,2.3400000000000034
down,18.3791959798995,4.4424999999999955,2.3600000000000136
down,18.51286432160804,4.485500000000002,2.3600000000000136
down,18.646532663316584,4.485500000000002,2.3799999999999955
down,18.780201005025127,4.520999999999987,2.3799999999999955
down,18.91386934673367,4.520999999999987,2.4199999999999875
down,19.047537688442212,4.561499999999995,2.4199999999999875
down,19.18120603015075,4.561499999999995,2.4399999999999977
down,19.314874371859297,4.60499999999999,2.4399999999999977
down,19.44854271356784,4.60499999999999,2.460000000000008
down,19.58221105527638,4.653500000000008,2.460000000000008
down,19.715879396984924,4.653500000000008,2.5
down,19.849547738693467,4.701999999999998,2.5200000000000102
down,19.98321608040201,4.701999999999998,2.5200000000000102
down,20.11688442211055,4.75,2.539999999999992
down,20.250552763819098,4.75,2.5600000000000023
down,20.384221105527637,4.802499999999981,2.5600000000000023
down,20.51788944723618,4.802499999999981,2.5800000000000125
down,20.65155778894472,4.8489999999999895,2.5800000000000125
down,20.785226130653264,4.8489999999999895,2.6200000000000045
down,20.918894472361817,4.906499999999994,2.6200000000000045
