branch,s_ref_mm,u_ff_v,p_ff_bar
down,2.4796249999999995,0.6053568460197472,0.16328627712202765
down,2.6012349246231152,0.7723296778282552,0.21295747051560676
down,2.7228448492462305,0.9460359485553862,0.26609467000134557
down,2.844454773869346,1.12647565820114,0.32269787557924406
down,2.966064698492462,1.1715634504072128,0.3477921605960412
down,3.0876746231155776,1.2197555114136283,0.37520831225277007
down,3.209284547738693,1.271051841220387,0.4049463305494308
down,3.3308944723618086,1.323951742553268,0.4359274741648566
down,3.4525043969849243,1.372736888377849,0.4643018671821348
down,3.5741143216080395,1.4174072786941292,0.4900695096012653
down,3.6957242462311553,1.457962913502109,0.5132304014222482
down,3.817334170854271,1.4974548273761095,0.5360932113039542
down,3.938944095477386,1.5353659061470775,0.5577026389898394
down,4.060554020100502,1.571696149815012,0.5780586844799038
down,4.182163944723618,1.607635373701188,0.5981773997504944
down,4.303773869346733,1.646686056217873,0.6213857214578336
down,4.425383793969849,1.6888481973650673,0.6476836496019206
down,4.546993718592964,1.7341217971427707,0.6770711841827561
down,4.6686036432160805,1.7795873424608406,0.706533643644956
down,4.790213567839196,1.8240827204893697,0.7349566001103431
down,4.911823492462311,1.8675877944311179,0.7623375620856523
down,5.033433417085426,1.909602507588678,0.7886727298624374
down,5.155043341708542,1.9516036938022259,0.8145987354588148
down,5.2766532663316585,1.9935913530717622,0.8401155788747844
down,5.398263190954774,2.035565485397286,0.8652232601103464
down,5.519873115577889,2.0763438684909805,0.8896536724916119
down,5.641483040201004,2.1157722790134623,0.9134719587039544
down,5.76309296482412,2.1544397156939934,0.9370704157356995
down,5.884702889447236,2.1962610286641246,0.9627447663544625
down,6.006312814070352,2.2412362179238556,0.9904950105602436
down,6.127922738693467,2.2893652834731877,1.0203211483530426
down,6.249532663316582,2.3395942087617296,1.0514532008095125
down,6.371142587939698,2.386853447312298,1.080243591904789
down,6.492752512562814,2.431147778846592,1.1066962328041265
down,6.614362437185929,2.473054624391345,1.131513774754016
down,6.735972361809045,2.510963875010191,1.1540256153019774
down,6.8575822864321605,2.544875530703128,1.1742317544480103
down,6.979192211055276,2.5747895914701577,1.1921321921921144
down,7.100802135678392,2.6010884064311357,1.2077221977764365
down,7.222412060301507,2.628883276184522,1.2244843454022354
down,7.344021984924622,2.658174200730318,1.242418635069511
down,7.465631909547739,2.6881475088352627,1.2606954018873098
down,7.587241834170854,2.7176086224277642,1.2781075301984899
down,7.708851758793969,2.746557541507824,1.2946550200030522
down,7.830461683417085,2.774994266075441,1.3103378713009963
down,7.9520716080402005,2.8081186324603395,1.328860074273467
down,8.073681532663317,2.8468349378668822,1.3511076413140026
down,8.195291457286432,2.8879131602744277,1.3751452504550619
down,8.316901381909547,2.9256027115759218,1.3974638382590914
down,8.438511306532664,2.959482427538104,1.417730648783409
down,8.56012123115578,2.989552308160973,1.435945682028014
down,8.681731155778895,3.017718281476664,1.4531705264081636
down,8.80334108040201,3.0401119255665803,1.4668433758194772
