hold_id,u_ss_v,u_prev_v,du_v,branch,n_samples,tail_fraction_used,tail_n_samples,s_ss_mm,p_ss_bar,s_tail_std_mm,p_tail_std_bar,s_tail_slope_mm_s,p_tail_slope_bar_s,steady_enough,dataset_role
39,3.347,4.873,-1.5260000000000002,down,400,0.05,20,9.610999999999999,1.6599999999999997,0.009949874371065986,2.220446049250313e-16,-0.09999999999999787,0.0,True,single_design_dataset
40,3.736,3.347,0.38900000000000023,up,400,0.05,20,10.520000000000001,1.8800000000000001,1.7763568394002505e-15,2.220446049250313e-16,0.0,0.0,True,single_design_dataset
41,2.013,3.736,-1.7230000000000003,down,400,0.05,20,4.892999999999999,0.86,0.009539392014169677,0.0,-0.10000000000000231,0.0,True,single_design_dataset
42,4.638,2.013,2.625,up,400,0.05,20,13.639999999999997,2.4399999999999995,3.552713678800501e-15,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
43,1.982,4.638,-2.6559999999999997,down,400,0.05,20,4.760000000000001,0.8400000000000001,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,True,single_design_dataset
44,3.311,1.982,1.329,up,400,0.05,20,8.139999999999997,1.6200000000000003,3.552713678800501e-15,2.220446049250313e-16,0.0,0.0,True,single_design_dataset
45,2.371,3.311,-0.94,down,400,0.05,20,5.6800000000000015,1.0799999999999996,1.7763568394002505e-15,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
46,1.872,2.371,-0.4989999999999999,down,400,0.05,20,4.239999999999999,0.7799999999999999,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,True,single_design_dataset
47,3.38,1.872,1.5079999999999998,up,400,0.05,20,8.107000000000001,1.6800000000000002,0.009539392014169255,2.220446049250313e-16,0.09999999999999787,0.0,True,single_design_dataset
48,1.526,3.38,-1.8539999999999999,down,400,0.05,20,3.28,0.5600000000000002,0.0,1.1102230246251565e-16,0.0,0.0,True,single_design_dataset
49,4.813,1.526,3.287,up,400,0.05,20,13.921000000000001,2.54,0.009949874371065988,0.0,0.19999999999999574,0.0,True,single_design_dataset
50,1.669,4.813,-3.1439999999999997,down,400,0.05,20,3.681000000000001,0.65,0.004358898943540677,0.010000000000000009,-0.10000000000000009,0.10000000000000009,True,single_design_dataset
51,4.066,1.669,2.397,up,400,0.05,20,10.673000000000002,2.0799999999999996,0.009539392014169253,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
52,5.064,4.066,0.9980000000000002,up,400,0.05,20,15.350000000000003,2.68,0.009999999999999787,0.0,0.09999999999999787,0.0,True,single_design_dataset
53,2.014,5.064,-3.0500000000000003,down,400,0.05,20,4.695000000000002,0.86,0.008660254037844588,0.0,-0.10000000000000231,0.0,True,single_design_dataset
54,2.705,2.014,0.6910000000000003,up,400,0.05,20,6.08,1.2600000000000002,0.0,2.220446049250313e-16,0.0,0.0,True,single_design_dataset
55,4.668,2.705,1.963,up,400,0.05,20,13.341,2.46,0.004358898943540581,0.0,0.09999999999999787,0.0,True,single_design_dataset
56,2.508,4.668,-2.16,down,400,0.05,20,6.093999999999999,1.16,0.009165151389911485,0.0,-0.09999999999999787,0.0,True,single_design_dataset
57,2.133,2.508,-0.375,down,400,0.05,20,4.900000000000001,0.9400000000000001,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,True,single_design_dataset
58,1.656,2.133,-0.4770000000000001,down,400,0.05,20,3.55,0.6400000000000001,0.010000000000000009,1.1102230246251565e-16,-0.10000000000000009,0.0,True,single_design_dataset
59,4.739,1.656,3.083,up,400,0.05,20,13.459999999999999,2.4799999999999995,0.010954451150103576,4.440892098500626e-16,0.20000000000000462,0.0,True,single_design_dataset
60,5.423,4.739,0.6840000000000002,up,400,0.05,20,17.187999999999995,2.8999999999999995,0.009797958971132503,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
61,4.433,5.423,-0.9900000000000002,down,400,0.05,20,13.52,2.2999999999999994,0.0,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
62,5.897,4.433,1.4640000000000004,up,400,0.05,20,19.945999999999998,3.182,0.009165151389911483,0.006000000000000005,0.09999999999999787,0.0,True,single_design_dataset
63,4.771,5.897,-1.1260000000000003,down,400,0.05,20,15.559999999999999,2.5090000000000003,1.7763568394002505e-15,0.009949874371066208,0.0,0.10000000000000009,True,single_design_dataset
64,6.843,4.771,2.072,up,400,0.05,20,24.960000000000004,3.7600000000000002,0.01414213562373065,4.440892098500626e-16,0.19999999999999574,0.0,True,single_design_dataset
65,4.691,6.843,-2.152,down,400,0.05,20,15.779999999999996,2.46,3.552713678800501e-15,0.0,0.0,0.0,True,single_design_dataset
66,6.694,4.691,2.003,up,400,0.05,20,24.509999999999998,3.6599999999999993,0.009999999999999787,8.881784197001252e-16,0.09999999999999787,0.0,True,single_design_dataset
67,7.136,6.694,0.44200000000000017,up,400,0.05,20,26.741000000000003,3.94,0.004358898943541355,0.0,0.10000000000001563,0.0,True,single_design_dataset
68,4.958,7.136,-2.178,down,400,0.05,20,17.659000000000002,2.6199999999999997,0.004358898943540581,4.440892098500626e-16,-0.09999999999999787,0.0,True,single_design_dataset
69,3.767,4.958,-1.1910000000000003,down,400,0.05,20,11.741000000000001,1.9200000000000004,0.007681145747868445,4.440892098500626e-16,-0.19999999999999574,0.0,True,single_design_dataset
70,4.992,3.767,1.225,up,400,0.05,20,16.361,2.64,0.004358898943540581,0.0,0.09999999999999787,0.0,True,single_design_dataset
71,5.405,4.992,0.41300000000000026,up,400,0.05,20,18.420000000000005,2.893,3.552713678800501e-15,0.009539392014169467,0.0,0.10000000000000009,True,single_design_dataset
72,6.697,5.405,1.2919999999999998,up,400,0.05,20,24.835999999999995,3.680000000000001,0.00799999999999983,8.881784197001252e-16,0.09999999999999787,0.0,True,single_design_dataset
73,5.66,6.697,-1.037,down,400,0.05,20,21.100000000000005,3.04,3.552713678800501e-15,0.0,0.0,0.0,True,single_design_dataset
74,6.617,5.66,0.9569999999999999,up,400,0.05,20,24.740000000000002,3.62,3.552713678800501e-15,0.0,0.0,0.0,True,single_design_dataset
75,4.189,6.617,-2.428,down,400,0.05,20,14.032999999999998,2.1599999999999993,0.009539392014169255,8.881784197001252e-16,-0.09999999999999787,0.0,True,single_design_dataset
76,3.76,4.189,-0.42900000000000027,down,400,0.05,20,11.839,1.8999999999999997,0.004358898943540581,2.220446049250313e-16,-0.09999999999999787,0.0,True,single_design_dataset
77,6.139,3.76,2.3790000000000004,up,400,0.05,20,22.188999999999997,3.3400000000000007,0.009949874371065986,8.881784197001252e-16,0.09999999999999787,0.0,True,single_design_dataset
78,3.239,6.139,-2.9000000000000004,down,400,0.05,20,9.66,1.6000000000000003,0.008944271909998969,2.220446049250313e-16,-0.19999999999999574,0.0,True,single_design_dataset
79,2.018,3.239,-1.221,down,400,0.05,20,5.1450000000000005,0.86,0.008660254037844588,0.0,-0.10000000000000231,0.0,True,single_design_dataset
80,2.488,2.018,0.4700000000000002,up,400,0.05,20,5.959999999999999,1.1400000000000001,8.881784197001252e-16,2.220446049250313e-16,0.0,0.0,True,single_design_dataset
81,3.723,2.488,1.2349999999999999,up,400,0.05,20,9.900000000000002,1.8800000000000001,1.7763568394002505e-15,2.220446049250313e-16,0.0,0.0,True,single_design_dataset
82,1.476,3.723,-2.247,down,400,0.05,20,3.4059999999999997,0.5199999999999999,0.014282856857085711,1.1102230246251565e-16,-0.20000000000000018,0.0,True,single_design_dataset
83,3.674,1.476,2.198,up,400,0.05,20,9.438999999999998,1.8400000000000005,0.0043588989435405815,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
84,1.558,3.674,-2.1159999999999997,down,400,0.05,20,3.508,0.575,0.00979795897113272,0.008660254037844347,0.0,0.09999999999999953,True,single_design_dataset
85,2.88,1.558,1.3219999999999998,up,400,0.05,20,6.58,1.3799999999999997,0.0,2.220446049250313e-16,0.0,0.0,True,single_design_dataset
86,4.185,2.88,1.3049999999999997,up,400,0.05,20,11.379999999999999,2.1599999999999993,1.7763568394002505e-15,8.881784197001252e-16,0.0,0.0,True,single_design_dataset
87,4.585,4.185,0.40000000000000036,up,400,0.05,20,13.360000000000003,2.3999999999999995,3.552713678800501e-15,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
88,3.137,4.585,-1.448,down,400,0.05,20,8.375000000000004,1.5399999999999998,0.008660254037844971,2.220446049250313e-16,-0.10000000000000675,0.0,True,single_design_dataset
89,1.737,3.137,-1.4,down,400,0.05,20,4.019999999999999,0.6999999999999998,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,True,single_design_dataset
90,5.265,1.737,3.5279999999999996,up,400,0.05,20,16.55,2.7999999999999994,0.009999999999999787,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
91,6.372,5.265,1.1070000000000002,up,400,0.05,20,22.750999999999998,3.4799999999999995,0.009949874371067756,4.440892098500626e-16,0.10000000000001563,0.0,True,single_design_dataset
92,7.094,6.372,0.7220000000000004,up,400,0.05,20,26.544999999999998,3.900000000000001,0.008660254037844203,8.881784197001252e-16,0.09999999999999787,0.0,True,single_design_dataset
93,5.86,7.094,-1.234,down,400,0.05,20,22.158000000000005,3.1599999999999993,0.005999999999999872,8.881784197001252e-16,0.0,0.0,True,single_design_dataset
94,3.543,5.86,-2.317,down,400,0.05,20,10.714999999999998,1.78,0.008660254037844971,0.0,-0.10000000000000675,0.0,True,single_design_dataset
95,5.734,3.543,2.191,up,400,0.05,20,20.064999999999998,3.0799999999999996,0.008660254037844203,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
96,6.482,5.734,0.7480000000000002,up,400,0.05,20,23.977000000000004,3.5400000000000005,0.007141428428542697,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
97,5.133,6.482,-1.3490000000000002,down,400,0.05,20,18.519999999999996,2.7199999999999998,3.552713678800501e-15,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
98,6.325,5.133,1.1920000000000002,up,400,0.05,20,23.408000000000005,3.44,0.009797958971134245,0.0,0.10000000000001563,0.0,True,single_design_dataset
99,7.037,6.325,0.7119999999999997,up,400,0.05,20,26.737000000000002,3.872999999999999,0.007141428428542697,0.009539392014169465,0.09999999999999787,0.0,True,single_design_dataset
100,6.695,7.037,-0.34199999999999964,down,400,0.05,20,26.100000000000005,3.6720000000000006,3.552713678800501e-15,0.009797958971132722,0.0,0.10000000000000009,True,single_design_dataset
101,5.197,6.695,-1.4980000000000002,down,400,0.05,20,19.492000000000004,2.7599999999999993,0.009797958971132503,4.440892098500626e-16,-0.09999999999999787,0.0,True,single_design_dataset
102,2.105,5.197,-3.092,down,400,0.05,20,5.659,0.9200000000000003,0.004358898943540774,2.220446049250313e-16,-0.10000000000000231,0.0,True,single_design_dataset
103,3.017,2.105,0.9119999999999999,up,400,0.05,20,7.8199999999999985,1.4600000000000002,1.7763568394002505e-15,2.220446049250313e-16,0.0,0.0,True,single_design_dataset
104,4.766,3.017,1.749,up,400,0.05,20,14.967000000000002,2.5,0.009539392014169255,0.0,0.09999999999999787,0.0,True,single_design_dataset
105,2.528,4.766,-2.238,down,400,0.05,20,6.7379999999999995,1.16,0.006000000000000139,0.0,-0.10000000000000231,0.0,True,single_design_dataset
106,6.174,2.528,3.6460000000000004,up,400,0.05,20,22.162,3.3600000000000003,0.012489995996796531,4.440892098500626e-16,0.19999999999999574,0.0,True,single_design_dataset
107,5.603,6.174,-0.5710000000000006,down,400,0.05,20,20.44,3.0200000000000005,0.0,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
108,3.138,5.603,-2.465,down,400,0.05,20,9.107,1.52,0.009539392014169253,0.0,-0.09999999999999787,0.0,True,single_design_dataset
109,5.269,3.138,2.1310000000000002,up,400,0.05,20,17.722,2.7999999999999994,0.005999999999999872,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
110,6.536,5.269,1.2669999999999995,up,400,0.05,20,24.306,3.5799999999999996,0.009165151389911485,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
