branch,profile_file,static_lookup_layer,required_runtime_inputs,material_step_rule,formula,p_ff_policy,branch_policy,output_policy,domain_policy,calibrated_horizon_s,runtime_horizon_s,extension_policy,selected_model,pressure_plateau_start_s,coefficient_a,coefficient_m,coefficient_tau_s,coefficient_join_s
down,open_loop_creep_compensation_down.csv,open_loop_steady_state_lookup,"s_ref_mm,s_ref_prev_mm,time_since_material_reference_step_s,selected_branch",reset time when abs(s_ref_mm-s_ref_prev_mm)>0.001,"delta_s_ref=s_ref_mm-s_ref_prev_mm; s_virtual=clip(s_ref_mm+delta_s_ref*creep_fraction,loaded_lookup_domain); u_ff_creep=U_branch(s_virtual); delta_u_creep=u_ff_creep-U_branch(s_ref_mm)",unchanged,select_existing_branch_before_creep_correction; apply_only_when_step_direction_matches_selected_branch,use_existing_voltage_saturation_after_feedforward_and_feedback,reject_or_constrain_out_of_lookup_reference; do_not_extrapolate_static_lookup,3.99,3.99,no_extension_runtime_horizon_within_calibrated_hold,single_exponential,2.2,0.0717106055885964,NA,0.5268174883077363,NA
up,open_loop_creep_compensation_up.csv,open_loop_steady_state_lookup,"s_ref_mm,s_ref_prev_mm,time_since_material_reference_step_s,selected_branch",reset time when abs(s_ref_mm-s_ref_prev_mm)>0.001,"delta_s_ref=s_ref_mm-s_ref_prev_mm; s_virtual=clip(s_ref_mm+delta_s_ref*creep_fraction,loaded_lookup_domain); u_ff_creep=U_branch(s_virtual); delta_u_creep=u_ff_creep-U_branch(s_ref_mm)",unchanged,select_existing_branch_before_creep_correction; apply_only_when_step_direction_matches_selected_branch,use_existing_voltage_saturation_after_feedforward_and_feedback,reject_or_constrain_out_of_lookup_reference; do_not_extrapolate_static_lookup,3.99,3.99,no_extension_runtime_horizon_within_calibrated_hold,single_exponential,0.31,0.1921030658540345,NA,0.9976667250074714,NA
