controller,branch,source_file,output_file,filename_branch,inferred_branch,filename_branch_mismatch,n_segments,n_startup_excluded,n_warmup_excluded,n_incomplete_excluded,n_unstable_excluded,n_unmatched_excluded,n_accepted,output_rows,corrected_s_ref_min_mm,corrected_s_ref_max_mm,tracking_error_bias_mm,tracking_error_median_mm,tracking_error_rmse_mm,tracking_error_p95_abs_mm,tracking_error_max_abs_mm,u_correction_median_v,u_correction_rmse_v,u_correction_max_abs_v,p_correction_median_bar,p_correction_rmse_bar,p_correction_max_abs_bar,raw_u_monotonic_violations,raw_p_monotonic_violations,final_u_monotonic_violations,final_p_monotonic_violations,reference_match_tolerance_mm,min_hold_samples,tail_samples
LQI_no_vel,down,LQI_no_vel_lookup_down_post_correction_experiment.csv,lqi_no_vel_lookup_down_post_corrected.csv,down,down,FALSE,204,1,6,0,0,0,197,197,2.74,28.938994974874376,0.20887817258883246,0.1869999999999994,0.628112776417163,1.0923999999999983,1.283999999999999,-0.40407534368890063,0.40628765852124527,0.7237960107602035,-0.316577827049358,0.30610011518412567,0.48745659856437396,72,0,0,0,0.001,380,100
LQI_no_vel,up,LQI_no_vel_lookup_up_post_correction_experiment.csv,lqi_no_vel_lookup_up_post_corrected.csv,up,up,FALSE,195,1,0,0,0,0,194,194,4.395,29.968308207705196,0.45062886597938145,0.6310000000000002,0.6569892277357557,0.9694499999999993,1.2549999999999994,-0.30843867665316527,0.4107863042155814,0.7448411023695902,-0.13004254084758315,0.20390004519004984,0.3811978161558782,43,6,0,0,0.001,380,100
LQI_vel,down,LQI_vel_lookup_down_post_correction_experiment.csv,lqi_vel_lookup_down_post_corrected.csv,down,down,FALSE,204,1,6,0,0,0,197,197,2.74,28.938994974874376,0.02837055837563453,0.06099999999999994,0.6057242801417981,0.9656000000000002,1.0300000000000011,-0.2442605589042719,0.32208696150591026,0.5618929489911242,-0.23084832931029187,0.22887073312636427,0.4074565985643739,75,1,0,0,0.001,380,100
LQI_vel,up,LQI_vel_lookup_up_post_correction_experiment.csv,lqi_vel_lookup_up_post_corrected.csv,up,up,FALSE,188,1,0,1,0,0,186,186,4.395,28.908274706867672,0.4741827956989248,0.7010000000000005,0.8029751131000665,1.17225,1.6949999999999994,-0.24880635022299735,0.3825503562595085,0.7217763182217247,-0.07732754677358189,0.195494031227911,0.34765579189394424,42,1,0,0,0.001,380,100
PID,down,PID_lookup_up_post_correction_experiment.csv,pid_lookup_down_post_corrected.csv,up,down,TRUE,204,1,6,0,0,0,197,197,2.74,28.938994974874376,0.10172081218274104,0.17099999999999937,0.6059296461146368,0.964199999999999,1.0500000000000007,-0.2567094867852928,0.3316270135700736,0.5838929489911235,-0.237726697396758,0.23391718462572655,0.4074565985643739,80,2,0,0,0.001,380,100
PID,up,PID_lookup_down_post_correction_experiment.csv,pid_lookup_up_post_corrected.csv,down,up,TRUE,188,1,0,1,0,0,186,186,4.395,28.908274706867672,0.4911720430107527,0.6420000000000003,0.6686548847041421,0.9885000000000002,1.2949999999999995,-0.36616555699144415,0.43484988938557206,0.7509032478871935,-0.15373847421561404,0.2163064353450119,0.3745414969548455,53,2,0,0,0.001,380,100
