hold_id,u_ss_v,u_prev_v,du_v,branch,n_samples,tail_fraction_used,tail_n_samples,s_ss_mm,p_ss_bar,s_tail_std_mm,p_tail_std_bar,s_tail_slope_mm_s,p_tail_slope_bar_s,steady_enough,u_ff_v,p_ff_bar,u_abs_error_v,p_abs_error_bar,dataset_role
2,4.074,0.0,4.074,up,400,0.05,20,9.967999999999998,2.1000000000000005,0.009797958971132503,4.440892098500626e-16,0.09999999999999787,0.0,True,3.655369271729844,1.8387164861512015,0.418630728270156,0.261283513848799,single_design_dataset
5,2.58,1.538,1.042,up,400,0.05,20,5.019999999999999,1.1999999999999997,8.881784197001252e-16,2.220446049250313e-16,0.0,0.0,True,2.156611262855737,0.9307524944866714,0.42338873714426306,0.2692475055133283,single_design_dataset
6,6.557,2.58,3.9770000000000003,up,400,0.05,20,22.044999999999998,3.5799999999999996,0.01774823934929847,4.440892098500626e-16,0.2999999999999936,0.0,True,6.0961574632548094,3.309272058143349,0.46084253674519093,0.27072794185665083,single_design_dataset
8,6.43,5.764,0.6659999999999995,up,400,0.05,20,22.315,3.5200000000000005,0.008660254037844203,4.440892098500626e-16,0.09999999999999787,0.0,True,6.141944484871735,3.340397987101107,0.28805551512826444,0.17960201289889355,single_design_dataset
9,7.088,6.43,0.6580000000000004,up,400,0.05,20,25.77,3.900000000000001,0.009999999999999787,8.881784197001252e-16,0.09999999999999787,0.0,True,6.733296003118815,3.6911285518542614,0.35470399688118537,0.20887144814573944,single_design_dataset
12,6.232,5.598,0.6340000000000003,up,400,0.05,20,22.639999999999997,3.4,3.552713678800501e-15,0.0,0.0,0.0,True,6.179778615331108,3.3624051211894024,0.05222138466889259,0.03759487881059753,single_design_dataset
14,6.087,4.968,1.1189999999999998,up,400,0.05,20,21.860000000000003,3.2999999999999994,3.552713678800501e-15,4.440892098500626e-16,0.0,0.0,True,6.055271182896234,3.281642569634508,0.03172881710376618,0.0183574303654912,single_design_dataset
16,4.877,3.795,1.0819999999999999,up,400,0.05,20,15.62,2.5799999999999996,0.0,4.440892098500626e-16,0.0,0.0,True,4.837972029856984,2.5549052638245056,0.03902797014301562,0.02509473617549407,single_design_dataset
21,4.532,1.62,2.912,up,400,0.05,20,12.898000000000001,2.36,0.005999999999999872,0.0,0.09999999999999787,0.0,True,4.301733557074486,2.2339767716131376,0.23026644292551435,0.1260232283868623,single_design_dataset
24,3.745,2.808,0.9370000000000003,up,400,0.05,20,9.699999999999998,1.8999999999999997,1.7763568394002505e-15,2.220446049250313e-16,0.0,0.0,True,3.5656242822489133,1.7853196981056307,0.17937571775108685,0.11468030189436895,single_design_dataset
27,3.227,2.608,0.6189999999999998,up,400,0.05,20,7.8199999999999985,1.5799999999999996,1.7763568394002505e-15,4.440892098500626e-16,0.0,0.0,True,3.1059353863016366,1.5049569550553337,0.1210646136983633,0.07504304494466596,single_design_dataset
29,4.834,2.16,2.6739999999999995,up,400,0.05,20,14.009,2.54,0.009949874371065986,0.0,0.09999999999999787,0.0,True,4.5702626710678285,2.3921889163133847,0.26373732893217117,0.14781108368661533,single_design_dataset
30,6.804,4.834,1.9700000000000006,up,400,0.05,20,24.407000000000004,3.7399999999999998,0.011445523142260968,4.440892098500626e-16,0.2000000000000135,0.0,True,6.502333930502063,3.5518189477165705,0.3016660694979372,0.1881810522834293,single_design_dataset
32,6.906,5.135,1.771,up,400,0.05,20,25.291000000000004,3.7999999999999994,0.009949874371065986,4.440892098500626e-16,0.09999999999999787,0.0,True,6.672293308991716,3.655335925681517,0.23370669100828412,0.14466407431848216,single_design_dataset
34,5.046,4.717,0.3290000000000006,up,400,0.05,20,16.899999999999995,2.68,3.552713678800501e-15,0.0,0.0,0.0,True,5.069455614849296,2.6927208356606704,0.023455614849296147,0.012720835660670282,single_design_dataset
35,5.709,5.046,0.6629999999999994,up,400,0.05,20,19.920000000000005,3.0799999999999996,3.552713678800501e-15,4.440892098500626e-16,0.0,0.0,True,5.666738771143049,3.046450474723709,0.04226122885695105,0.03354952527629074,single_design_dataset
37,3.976,3.634,0.3420000000000001,up,400,0.05,20,11.72,2.04,0.0,0.0,0.0,0.0,True,3.9883040806351673,2.0367762824625224,0.012304080635167303,0.003223717537477633,single_design_dataset
38,4.873,3.976,0.8970000000000002,up,400,0.05,20,15.363,2.5799999999999996,0.007141428428543333,4.440892098500626e-16,0.10000000000000675,0.0,True,4.78896648391983,2.525432779549273,0.0840335160801704,0.054567220450726595,single_design_dataset
40,3.736,3.347,0.38900000000000023,up,400,0.05,20,10.520000000000001,1.8800000000000001,1.7763568394002505e-15,2.220446049250313e-16,0.0,0.0,True,3.8199051672820703,1.9349461916735586,0.08390516728207009,0.05494619167355852,single_design_dataset
42,4.638,2.013,2.625,up,400,0.05,20,13.639999999999997,2.4399999999999995,3.552713678800501e-15,4.440892098500626e-16,0.0,0.0,True,4.5572847222257264,2.3842157975560383,0.08071527777427345,0.055784202443961206,single_design_dataset
44,3.311,1.982,1.329,up,400,0.05,20,8.139999999999997,1.6200000000000003,3.552713678800501e-15,2.220446049250313e-16,0.0,0.0,True,3.2071992484700123,1.5644216682614207,0.10380075152998769,0.05557833173857962,single_design_dataset
47,3.38,1.872,1.5079999999999998,up,400,0.05,20,8.107000000000001,1.6800000000000002,0.009539392014169255,2.220446049250313e-16,0.09999999999999787,0.0,True,3.1967813363867545,1.5583373855979081,0.18321866361324535,0.12166261440209203,single_design_dataset
49,4.813,1.526,3.287,up,400,0.05,20,13.921000000000001,2.54,0.009949874371065988,0.0,0.19999999999999574,0.0,True,4.565995785728347,2.389683954267806,0.24700421427165242,0.15031604573219415,single_design_dataset
51,4.066,1.669,2.397,up,400,0.05,20,10.673000000000002,2.0799999999999996,0.009539392014169253,4.440892098500626e-16,0.09999999999999787,0.0,True,3.8619511844310725,1.9602650789469753,0.2040488155689273,0.1197349210530243,single_design_dataset
52,5.064,4.066,0.9980000000000002,up,400,0.05,20,15.350000000000003,2.68,0.009999999999999787,0.0,0.09999999999999787,0.0,True,4.786515888769595,2.5239212829651043,0.27748411123040473,0.15607871703489584,single_design_dataset
54,2.705,2.014,0.6910000000000003,up,400,0.05,20,6.08,1.2600000000000002,0.0,2.220446049250313e-16,0.0,0.0,True,2.5727004607239854,1.1876816972681643,0.13229953927601468,0.07231830273183593,single_design_dataset
55,4.668,2.705,1.963,up,400,0.05,20,13.341,2.46,0.004358898943540581,0.0,0.09999999999999787,0.0,True,4.494565083705747,2.3470371190268473,0.17343491629425323,0.11296288097315266,single_design_dataset
59,4.739,1.656,3.083,up,400,0.05,20,13.459999999999999,2.4799999999999995,0.010954451150103576,4.440892098500626e-16,0.20000000000000462,0.0,True,4.52745112346723,2.3664217586645173,0.21154887653276955,0.11357824133548222,single_design_dataset
60,5.423,4.739,0.6840000000000002,up,400,0.05,20,17.187999999999995,2.8999999999999995,0.009797958971132503,4.440892098500626e-16,0.09999999999999787,0.0,True,5.110926727121328,2.71616572794007,0.31207327287867237,0.1838342720599293,single_design_dataset
62,5.897,4.433,1.4640000000000004,up,400,0.05,20,19.945999999999998,3.182,0.009165151389911483,0.006000000000000005,0.09999999999999787,0.0,True,5.670804173162467,3.048865688276006,0.22619582683753325,0.13313431172399381,single_design_dataset
64,6.843,4.771,2.072,up,400,0.05,20,24.960000000000004,3.7600000000000002,0.01414213562373065,4.440892098500626e-16,0.19999999999999574,0.0,True,6.618885422439835,3.621072562299409,0.22411457756016517,0.13892743770059113,single_design_dataset
66,6.694,4.691,2.003,up,400,0.05,20,24.509999999999998,3.6599999999999993,0.009999999999999787,8.881784197001252e-16,0.09999999999999787,0.0,True,6.526432142043669,3.566120208416879,0.1675678579563309,0.09387979158312021,single_design_dataset
67,7.136,6.694,0.44200000000000017,up,400,0.05,20,26.741000000000003,3.94,0.004358898943541355,0.0,0.10000000000001563,0.0,True,6.99674459790048,3.848041595628605,0.13925540209952025,0.09195840437139502,single_design_dataset
70,4.992,3.767,1.225,up,400,0.05,20,16.361,2.64,0.004358898943540581,0.0,0.09999999999999787,0.0,True,4.994458107742443,2.6471190176714936,0.0024581077424432607,0.007119017671493477,single_design_dataset
71,5.405,4.992,0.41300000000000026,up,400,0.05,20,18.420000000000005,2.893,3.552713678800501e-15,0.009539392014169467,0.0,0.10000000000000009,True,5.335329086640994,2.8450710643400816,0.06967091335900655,0.04792893565991818,single_design_dataset
72,6.697,5.405,1.2919999999999998,up,400,0.05,20,24.835999999999995,3.680000000000001,0.00799999999999983,8.881784197001252e-16,0.09999999999999787,0.0,True,6.595681321239478,3.607069636786285,0.10131867876052247,0.07293036321371593,single_design_dataset
74,6.617,5.66,0.9569999999999999,up,400,0.05,20,24.740000000000002,3.62,3.552713678800501e-15,0.0,0.0,0.0,True,6.576394741325433,3.595653070934347,0.040605258674567324,0.024346929065653278,single_design_dataset
77,6.139,3.76,2.3790000000000004,up,400,0.05,20,22.188999999999997,3.3400000000000007,0.009949874371065986,8.881784197001252e-16,0.09999999999999787,0.0,True,6.123119290207533,3.327627637398312,0.015880709792467584,0.012372362601688724,single_design_dataset
