branch,time_since_step_s,pressure_progress_fraction,selected_model,theta_s,tau_s,tau_fast_s,tau_slow_s,weight_fast,calibrated_horizon_s,runtime_horizon_s,interval
down,0,0,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.01,0,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.02,0,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.03,0,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.04,0,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.05,0,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.06,0,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.07,0,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.08,0,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.09,0,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.1,0.03041060730864048,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.11,0.09916090331350541,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.12,0.16060069346044437,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.13,0.2155461043486771,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.14,0.26472174072518756,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.15,0.30877095306446606,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.16,0.34826495321542467,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.17,0.3837109073527108,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.18,0.4155591209703134,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.19,0.44420941778271433,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.2,0.47001680297040455,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.21,0.4932964910603313,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.22,0.5143283697239054,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.23,0.5333609627778828,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.24,0.5506149485733501,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.25,0.5662862836545273,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.26,0.5805489759727902,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.27,0.5935575469728627,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.28,0.6054492174570903,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.29,0.6163458482175619,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.3,0.6263556629490445,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.31,0.6355747778689784,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.32,0.6440885597303534,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.33,0.651972831480321,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.34,0.6592949426573893,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.35000000000000003,0.6661147197023665,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.36,0.6724853096557019,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.37,0.6784539292023439,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.38,0.6840625296833052,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.39,0.6893483875017362,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.4,0.6943446282935891,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.41000000000000003,0.6990806922939017,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.42,0.7035827474960303,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.43,0.7078740564609962,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.44,0.7119753019769856,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.45,0.7159048761856417,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.46,0.7196791372738403,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.47000000000000003,0.7233126373697998,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.48,0.7268183248741305,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.49,0.7302077240939788,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.5,0.7334910947266424,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.51,0.7366775734533454,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.52,0.7397752996502385,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.53,0.7427915269985091,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.54,0.7457327225755749,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.55,0.748604654831851,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.56,0.7514124717000106,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.5700000000000001,0.7541607699437598,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.58,0.7568536567289573,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.59,0.7594948042896356,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.6,0.7620874984635941,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.61,0.7646346817853211,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.62,0.767138991746837,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.63,0.7696027947685561,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.64,0.7720282163614386,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.65,0.7744171679077134,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.66,0.7767713704395156,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.67,0.7790923757522209,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.68,0.7813815851514785,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.6900000000000001,0.783640266099396,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.7000000000000001,0.7858695669955515,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.71,0.7880705303020634,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.72,0.7902441041984789,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.73,0.7923911529313987,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.74,0.7945124660052545,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.75,0.7966087663442303,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.76,0.7986807175407316,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.77,0.8007289302928638,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.78,0.8027539681218825,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.79,0.8047563524503742,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.8,0.806736567112869,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.81,0.808695062362536,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.8200000000000001,0.8106322584304778,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.8300000000000001,0.8125485486877982,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.84,0.8144443024549838,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.85,0.8163198674981516,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.86,0.8181755722472697,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.87,0.8200117277675252,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.88,0.8218286295115109,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.89,0.8236265588768061,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.9,0.8254057845907579,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.91,0.8271665639418376,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.92,0.8289091438747591,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.93,0.8306337619646291,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.9400000000000001,0.8323406472836807,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.9500000000000001,0.8340300211726209,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.96,0.8357020979272782,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.97,0.837357085410031,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.98,0.8389951855944393,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,0.99,0.8406165950505572,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1,0.842221505377559,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.01,0.8438101035895765,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.02,0.8453825724599764,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.03,0.846939090828725,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.04,0.8484798338769631,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.05,0.8500049733724526,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.06,0.8515146778891474,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.07,0.8530091130037729,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.08,0.8544884414719784,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.09,0.8559528233863386,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.1,0.8574024163182206,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.11,0.8588373754453158,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.12,0.8602578536664246,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.1300000000000001,0.8616640017049111,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.1400000000000001,0.863055968202082,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.1500000000000001,0.864433899801605,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.16,0.8657979412259572,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.17,0.8671482353457819,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.18,0.8684849232429348,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
down,1.19,0.8698081442679133,fopdt_double_exponential,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,3.99,3.99,calibrated_open_loop_hold
