branch,time_since_step_s,n_samples,n_holds,normalized_remaining_median,normalized_remaining_q10,normalized_remaining_q90,terminal_relative_s_median_mm,terminal_relative_p_median_bar,terminal_relative_p_q10_bar,terminal_relative_p_q90_bar
down,0,408,408,1,1,1,5.2185,0.8400000000000001,0.3999999999999999,1.8199999999999998
down,0.01,408,408,1,1,1,5.2185,0.8400000000000001,0.3999999999999999,1.8199999999999998
down,0.02,408,408,1,1,1,5.2185,0.8400000000000001,0.3999999999999999,1.8199999999999998
down,0.03,408,408,1,1,1,5.2185,0.8300000000000001,0.3999999999999999,1.8199999999999998
down,0.04,408,408,1,0.9968018932620051,1,5.2185,0.8300000000000001,0.3999999999999999,1.8199999999999998
down,0.05,408,408,1,0.9914408810501554,1,5.2185,0.83,0.3964,1.806
down,0.06,408,408,1,0.9905599333206074,1,5.2235000000000005,0.8200000000000001,0.3856000000000001,1.806
down,0.07,408,408,1,0.9880651323482805,1,5.2235000000000005,0.8200000000000001,0.3800000000000001,1.7999999999999998
down,0.08,408,408,1,0.9837259171613322,1,5.2235000000000005,0.8199999999999998,0.3799999999999999,1.7860000000000005
down,0.09,408,408,1,0.9815126555298386,1,5.2185,0.7820000000000001,0.3540000000000001,1.7600000000000002
down,0.1,408,408,0.9880053961030755,0.9560625041528441,1,5.170999999999999,0.7600000000000001,0.3200000000000003,1.7200000000000002
down,0.11,408,408,0.9710986227608082,0.8863630661075114,1,4.9905,0.7200000000000002,0.2993999999999998,1.68
down,0.12,408,408,0.9434148226056822,0.8241379310344824,0.9975088967971529,4.7395,0.6945000000000001,0.2799999999999998,1.6199999999999999
down,0.13,408,408,0.9096174882696264,0.7671811164150861,0.9749229643751804,4.509499999999999,0.6599999999999999,0.2599999999999998,1.56
down,0.14,408,408,0.8719333149128881,0.7104122545981981,0.9601653084314534,4.267,0.6194999999999998,0.23999999999999977,1.5
down,0.15,408,408,0.8366099432520484,0.6486950816804076,0.9338271781787517,4.07,0.5749999999999998,0.2200000000000002,1.46
down,0.16,408,408,0.8030792647231002,0.6114266047151953,0.9034119106699754,3.8120000000000003,0.53,0.2200000000000002,1.4
down,0.17,408,408,0.7692307692307693,0.5710182721467519,0.8741067124086737,3.6189999999999998,0.48,0.21999999999999997,1.346
down,0.18,408,408,0.7370200447307153,0.5443905546544185,0.8469307631090284,3.4029999999999987,0.43999999999999995,0.21999999999999992,1.2999999999999998
down,0.19,408,408,0.71069680791903,0.5176838542267004,0.822177515854972,3.1225,0.3999999999999999,0.21999999999999975,1.2460000000000002
down,0.2,408,408,0.6869555419404363,0.4966785008745568,0.8005166771005859,2.912,0.353,0.21999999999999975,1.2
down,0.21,408,408,0.6532065331115979,0.4720282125035572,0.7802234821819981,2.7300000000000004,0.31999999999999995,0.21999999999999975,1.1460000000000001
down,0.22,408,408,0.6272465724650167,0.4550385057325481,0.7605332917511305,2.5845000000000007,0.28,0.21999999999999975,1.106
down,0.23,408,408,0.6061111797133101,0.4352382688144385,0.7441138564846312,2.496,0.26,0.21999999999999975,1.0660000000000003
down,0.24,408,408,0.5804695693953722,0.4232411427986452,0.730154521337395,2.4334999999999987,0.2599999999999999,0.21999999999999975,1.02
down,0.25,408,408,0.5615870830165766,0.40943219518389773,0.7147409808925986,2.373000000000001,0.2400000000000002,0.2176999999999997,0.98
down,0.26,408,408,0.5408042241030455,0.3943167619966673,0.7025445275193577,2.3230000000000004,0.24,0.20000000000000018,0.94
down,0.27,408,408,0.5242703533026114,0.3860399798707259,0.6872657889535737,2.2874999999999996,0.24,0.20000000000000018,0.8860000000000001
down,0.28,408,408,0.5043725970315956,0.37236454403532615,0.6779908675799078,2.249999999999999,0.24,0.20000000000000018,0.8460000000000001
down,0.29,408,408,0.49579434999168276,0.35781776115069414,0.6696102063613381,2.2155000000000005,0.24,0.20000000000000007,0.806
down,0.3,408,408,0.48343495123228347,0.34884204897871884,0.6649527806925495,2.175,0.23999999999999977,0.20000000000000007,0.7520000000000006
down,0.31,408,408,0.4735462515405733,0.3380374714359,0.6592654774396636,2.1370000000000005,0.2345000000000001,0.19999999999999996,0.72
down,0.32,408,408,0.46266000956073716,0.3292304648862511,0.6547504122320489,2.0995,0.2200000000000002,0.19999999999999996,0.6860000000000002
down,0.33,408,408,0.4494695499195235,0.3155686692377586,0.6503728427585904,2.0714999999999986,0.2200000000000002,0.19999999999999973,0.6460000000000002
down,0.34,408,408,0.4339622641509434,0.3088085757245118,0.6453586756591047,2.039999999999999,0.2200000000000002,0.19999999999999973,0.6060000000000002
down,0.35000000000000003,408,408,0.4219869508199396,0.3016658007387858,0.6438107165826082,2.0175,0.2200000000000002,0.19999999999999973,0.5660000000000001
down,0.36,408,408,0.41162031596814236,0.2960631710196592,0.634547837483617,1.992,0.21999999999999997,0.19999999999999973,0.5460000000000003
down,0.37,408,408,0.4038405930443467,0.28600307853976575,0.6343456753110478,1.959999999999999,0.21999999999999997,0.19999999999999973,0.52
down,0.38,408,408,0.3984722496984703,0.2789758218901416,0.6298216159496326,1.9394999999999971,0.21999999999999997,0.19999999999999973,0.4860000000000002
down,0.39,408,408,0.3927606946364326,0.2707813366611204,0.624143306850547,1.9194999999999993,0.21999999999999997,0.19999999999999973,0.45999999999999996
down,0.4,408,408,0.38370838872233626,0.2672885609204104,0.6205792415187639,1.8999999999999986,0.21999999999999997,0.18599999999999997,0.41999999999999993
