branch,model,cv_rmse,cv_rmse_sd,cv_folds_completed,a,m,tau_s,join_s,valid_runtime_profile,runtime_profile_finite,runtime_profile_nonnegative,runtime_profile_nonincreasing,model_complexity,eligible_for_runtime,best_eligible_cv_rmse,within_simplicity_margin,selected_model,pressure_plateau_start_s,pressure_plateau_band_bar,pressure_plateau_fallback_used,n_holds_total,n_holds_full,n_holds_accepted,n_holds_excluded,input_dataset,sampling_time_s,full_hold_samples,calibrated_horizon_s,runtime_horizon_s,extension_policy,correction_interpretation,post_correction_policy
down,single_exponential,0.025652956734457166,0.003337308592458642,5,0.0717106055885964,NA,0.5268174883077363,NA,TRUE,TRUE,TRUE,TRUE,2,TRUE,0.025652956734457166,TRUE,TRUE,2.2,0.05,FALSE,419,418,408,11,experiment/excitation_experiment_100hz_15min_4s_hold.csv,0.01,400,3.99,3.99,no_extension_runtime_horizon_within_calibrated_hold,repeatable_branchwise_open_loop_relaxation_not_isolated_material_parameter,post_correction_is_deferred_until_after_real_system_experiment
up,single_exponential,0.02117130793881075,7.701209321676043e-4,5,0.1921030658540345,NA,0.9976667250074714,NA,TRUE,TRUE,TRUE,TRUE,2,TRUE,0.02117130793881075,TRUE,TRUE,0.31,0.05,FALSE,419,419,406,13,experiment/excitation_experiment_100hz_15min_4s_hold.csv,0.01,400,3.99,3.99,no_extension_runtime_horizon_within_calibrated_hold,repeatable_branchwise_open_loop_relaxation_not_isolated_material_parameter,post_correction_is_deferred_until_after_real_system_experiment
