branch,model,model_complexity,cv_rmse,cv_rmse_sd,cv_folds_completed,theta_s,tau_s,tau_fast_s,tau_slow_s,weight_fast,valid_runtime_profile,runtime_profile_finite,runtime_profile_bounded,runtime_profile_nondecreasing,eligible_for_runtime,best_eligible_cv_rmse,within_simplicity_margin,selected_model,n_holds_total,n_holds_full,n_holds_accepted,n_holds_excluded,input_dataset,sampling_time_s,full_hold_samples,calibrated_horizon_s,runtime_horizon_s,controller_scope,implementation_policy,static_immediate_cv_rmse,dynamic_improves_static
up,fopdt_double_exponential,4,0.04552319707802974,5.872430940346274e-4,5,0.043595990120877066,NA,0.050051866257682626,0.761795052843296,0.9311930545555789,TRUE,TRUE,TRUE,TRUE,TRUE,0.04552319707802974,TRUE,TRUE,419,419,406,13,experiment/excitation_experiment_100hz_15min_4s_hold.csv,0.01,400,3.99,3.99,lookup_plus_branchwise_minimal_LQI|lookup_plus_branchwise_minimal_LQI_VEL,direct_selected_model_equation;_profiles_are_verification_only,0.14420249974958688,TRUE
down,fopdt_double_exponential,4,0.0712664004531763,0.004415976578915507,5,0.09591309710224645,NA,0.08403403162996613,0.9890087859497508,0.6064355899694005,TRUE,TRUE,TRUE,TRUE,TRUE,0.0712664004531763,TRUE,TRUE,419,418,408,11,experiment/excitation_experiment_100hz_15min_4s_hold.csv,0.01,400,3.99,3.99,lookup_plus_branchwise_minimal_LQI|lookup_plus_branchwise_minimal_LQI_VEL,direct_selected_model_equation;_profiles_are_verification_only,0.25258663157996075,TRUE
