controller,branch,lookup_file,reference_level,s_ref_mm,delta_s_ref_mm,time_since_step_s,interval,creep_fraction,s_virtual_mm,virtual_reference_clipped,u_ff_base_v,u_ff_creep_v,delta_u_creep_v,u_creep_within_control_window
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.3,pre_pressure_plateau_no_correction,0,8.704600000000001,FALSE,3.349442238401336,3.349442238401336,0,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.31,calibrated_open_loop_hold,0.1921030658540345,9.173773317735309,FALSE,3.349442238401336,3.4180111979245478,0.06856895952321196,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.32,calibrated_open_loop_hold,0.19018716039169448,9.169094101824637,FALSE,3.349442238401336,3.417273742573983,0.06783150417264716,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.33,calibrated_open_loop_hold,0.1882903628687531,9.164461553234357,FALSE,3.349442238401336,3.416543642102051,0.06710140370071516,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.34,calibrated_open_loop_hold,0.18641248271560482,9.159875206536322,FALSE,3.349442238401336,3.415820823156189,0.06637858475485325,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.35000000000000003,calibrated_open_loop_hold,0.184553331263256,9.15533460094425,FALSE,3.349442238401336,3.415105213115404,0.06566297471406823,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.36,calibrated_open_loop_hold,0.18271272172436928,9.150839280267428,FALSE,3.349442238401336,3.4143967400829744,0.06495450168163863,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.37,calibrated_open_loop_hold,0.1808904691744974,9.146388792864876,FALSE,3.349442238401336,3.4136953328792274,0.06425309447789163,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.38,calibrated_open_loop_hold,0.1790863905335037,9.141982691599978,FALSE,3.349442238401336,3.4130009210343886,0.06355868263305275,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.39,calibrated_open_loop_hold,0.17730030454716864,9.137620533795552,FALSE,3.349442238401336,3.4123134347815003,0.06287119638016447,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.4,calibrated_open_loop_hold,0.17553203176897894,9.133301881189379,FALSE,3.349442238401336,3.4116328050494142,0.06219056664807843,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.41000000000000003,calibrated_open_loop_hold,0.17378139454209907,9.12902629989017,FALSE,3.349442238401336,3.4109589634558506,0.061516725054514776,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.42,calibrated_open_loop_hold,0.172048216981522,9.124793360333973,FALSE,3.349442238401336,3.410291842300527,0.06084960389919125,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.43,calibrated_open_loop_hold,0.17033232495639827,9.120602637241012,FALSE,3.349442238401336,3.409631374558359,0.06018913615702326,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.44,calibrated_open_loop_hold,0.16863354607254122,9.11645370957297,FALSE,3.349442238401336,3.4089774938727238,0.05953525547138794,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.45,calibrated_open_loop_hold,0.16695170965510667,9.112346160490668,FALSE,3.349442238401336,3.408330134548795,0.05888789614745926,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.46,calibrated_open_loop_hold,0.16528664673144533,9.10827957731221,FALSE,3.349442238401336,3.407689231546941,0.05824699314560533,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.47000000000000003,calibrated_open_loop_hold,0.16363819001412644,9.104253551471501,FALSE,3.349442238401336,3.407054720476193,0.05761248207485714,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.48,calibrated_open_loop_hold,0.1620061738841303,9.100267678477213,FALSE,3.349442238401336,3.4064265375877723,0.05698429918643644,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.49,calibrated_open_loop_hold,0.1603904343742088,9.09632155787213,FALSE,3.349442238401336,3.4058116026712524,0.056369364269916566,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.5,calibrated_open_loop_hold,0.15879080915241187,9.092414793192937,FALSE,3.349442238401336,3.4052228952052817,0.05578065680394584,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.51,calibrated_open_loop_hold,0.1572071375057779,9.088546991930363,FALSE,3.349442238401336,3.404640059107604,0.055197820706268,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.52,calibrated_open_loop_hold,0.15563926032418718,9.084717765489764,FALSE,3.349442238401336,3.40406303582118,0.05462079741984427,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.53,calibrated_open_loop_hold,0.15408702008437633,9.080926729152074,FALSE,3.349442238401336,3.4034917673729805,0.05404952897164472,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.54,calibrated_open_loop_hold,0.15255026083411186,9.077173502035153,FALSE,3.349442238401336,3.402926196368159,0.05348395796682315,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.55,calibrated_open_loop_hold,0.15102882817652197,9.073457707055521,FALSE,3.349442238401336,3.4023662659842855,0.05292402758294967,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.56,calibrated_open_loop_hold,0.14952256925458435,9.069778970890471,FALSE,3.349442238401336,3.4018119199656387,0.052369681564302883,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.5700000000000001,calibrated_open_loop_hold,0.1480313327357688,9.066136923940569,FALSE,3.349442238401336,3.401263102617555,0.05182086421621923,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.58,calibrated_open_loop_hold,0.14655496879683286,9.062531200292506,FALSE,3.349442238401336,3.4007197588008293,0.051277520399493515,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.59,calibrated_open_loop_hold,0.14509332910876943,9.058961437682349,FALSE,3.349442238401336,3.4001818339261796,0.05073959552484375,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.6,calibrated_open_loop_hold,0.14364626682190404,9.055427277459136,FALSE,3.349442238401336,3.3996492739487585,0.050207035547422674,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.61,calibrated_open_loop_hold,0.14221363655114122,9.051928364548854,FALSE,3.349442238401336,3.399122025362727,0.04967978696139097,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.62,calibrated_open_loop_hold,0.14079529436135754,9.048464347418744,FALSE,3.349442238401336,3.3986000351958743,0.049157796794538466,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.63,calibrated_open_loop_hold,0.1393910977529408,9.045034878042008,FALSE,3.349442238401336,3.398083251004302,0.04864101260296616,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.64,calibrated_open_loop_hold,0.13800090564747305,9.041639611862825,FALSE,3.349442238401336,3.3975716208671485,0.048129382465812665,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.65,calibrated_open_loop_hold,0.13662457837355668,9.038278207761739,FALSE,3.349442238401336,3.397065093381377,0.04762285498004104,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.66,calibrated_open_loop_hold,0.1352619776527817,9.03495032802139,FALSE,3.349442238401336,3.3965636176566094,0.0471213792552736,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.67,calibrated_open_loop_hold,0.1339129665858329,9.03165563829258,FALSE,3.349442238401336,3.3960671433100136,0.04662490490867777,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.68,calibrated_open_loop_hold,0.1325774096387361,9.028393807560686,FALSE,3.349442238401336,3.395575620461242,0.046133382059906136,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.6900000000000001,calibrated_open_loop_hold,0.13125517262924066,9.025164508112395,FALSE,3.349442238401336,3.3950889997274185,0.0456467613260827,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.7000000000000001,calibrated_open_loop_hold,0.12994612271333866,9.021967415502788,FALSE,3.349442238401336,3.3946072322181804,0.04516499381684458,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.71,calibrated_open_loop_hold,0.128650128371918,9.018802208522736,FALSE,3.349442238401336,3.3941302695307622,0.04468803112942643,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.72,calibrated_open_loop_hold,0.1273670593975489,9.015668569166635,FALSE,3.349442238401336,3.393658063745136,0.04421582534380031,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.73,calibrated_open_loop_hold,0.12609678688140194,9.012566182600448,FALSE,3.349442238401336,3.393190567419195,0.04374832901785908,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.74,calibrated_open_loop_hold,0.12483918320029687,9.009494737130087,FALSE,3.349442238401336,3.3927277335839876,0.04328549518265179,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.75,calibrated_open_loop_hold,0.1235941220038803,9.006453924170078,FALSE,3.349442238401336,3.3922695157389993,0.04282727733766345,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.76,calibrated_open_loop_hold,0.12236147820193143,9.003443438212578,FALSE,3.349442238401336,3.39181586784748,0.04237362944614409,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.77,calibrated_open_loop_hold,0.12114112795179431,9.000462976796669,FALSE,3.349442238401336,3.391366744331818,0.04192450593048225,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.78,calibrated_open_loop_hold,0.11993294864593551,8.997512240477969,FALSE,3.349442238401336,3.3909221000689627,0.04147986166762685,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.79,calibrated_open_loop_hold,0.11873681889962588,8.994590932798557,FALSE,3.349442238401336,3.39048189038589,0.04103965198455439,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.8,calibrated_open_loop_hold,0.117552618538745,8.991698760257178,FALSE,3.349442238401336,3.3900460710551146,0.04060383265377876,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.81,calibrated_open_loop_hold,0.1163802285877076,8.988835432279759,FALSE,3.349442238401336,3.3896145982902444,0.04017235988890855,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.8200000000000001,calibrated_open_loop_hold,0.1152195312575099,8.986000661190218,FALSE,3.349442238401336,3.389187428741585,0.03974519034024926,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.8300000000000001,calibrated_open_loop_hold,0.11407040993389576,8.983194162181555,FALSE,3.349442238401336,3.388764519491781,0.039322281090445,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.84,calibrated_open_loop_hold,0.11293274916564039,8.980415653287244,FALSE,3.349442238401336,3.388345828051506,0.03890358965017038,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.85,calibrated_open_loop_hold,0.11180643465295101,8.977664855352904,FALSE,3.349442238401336,3.3879313123551946,0.03848907395385881,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.86,calibrated_open_loop_hold,0.11069135323598334,8.974941492008243,FALSE,3.349442238401336,3.387520930756812,0.03807869235547612,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.87,calibrated_open_loop_hold,0.10958739288347252,8.972245289639305,FALSE,3.349442238401336,3.387130941164532,0.03768870276319625,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.88,calibrated_open_loop_hold,0.10849444268147743,8.969575977360973,FALSE,3.349442238401336,3.386747157644035,0.037304919242699075,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.89,calibrated_open_loop_hold,0.10741239282223719,8.96693328698975,FALSE,3.349442238401336,3.386367201719625,0.036924963318289095,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.9,calibrated_open_loop_hold,0.10634113459313893,8.964316953016825,FALSE,3.349442238401336,3.38599103521746,0.036548796816123996,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.91,calibrated_open_loop_hold,0.1052805603657956,8.961726712581383,FALSE,3.349442238401336,3.3856186203444163,0.03617638194308048,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.92,calibrated_open_loop_hold,0.10423056358523247,8.959162305444215,FALSE,3.349442238401336,3.3852499196842953,0.035807681282959525,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.93,calibrated_open_loop_hold,0.10319103875918177,8.956623473961551,FALSE,3.349442238401336,3.3848848961940594,0.0354426577927236,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.9400000000000001,calibrated_open_loop_hold,0.1021618814474839,8.95410996305919,FALSE,3.349442238401336,3.384523513200115,0.035081274798779205,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.9500000000000001,calibrated_open_loop_hold,0.1011429882515945,8.95162152020687,FALSE,3.349442238401336,3.3841657343946254,0.03472349599328961,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.96,calibrated_open_loop_hold,0.10013425680419606,8.949157895392888,FALSE,3.349442238401336,3.383811523831864,0.034369285430527974,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.97,calibrated_open_loop_hold,0.09913558575891308,8.946718841098994,FALSE,3.349442238401336,3.3834608459246014,0.034018607523265576,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.98,calibrated_open_loop_hold,0.09814687478012997,8.944304112275512,FALSE,3.349442238401336,3.3831136654405327,0.0336714270391969,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,0.99,calibrated_open_loop_hold,0.09716802453291044,8.941913466316729,FALSE,3.349442238401336,3.3827699474987347,0.033327709097398905,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1,calibrated_open_loop_hold,0.09619893667301735,8.939546663036511,FALSE,3.349442238401336,3.382429657566163,0.03298741916482717,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.01,calibrated_open_loop_hold,0.09523951383703212,8.937203464644185,FALSE,3.349442238401336,3.382092761454183,0.0326505230528471,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.02,calibrated_open_loop_hold,0.09428965963257281,8.934883635720633,FALSE,3.349442238401336,3.3817592253151334,0.032316986913797585,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.03,calibrated_open_loop_hold,0.0933492786286096,8.932586943194654,FALSE,3.349442238401336,3.3814290156389277,0.03198677723759191,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.04,calibrated_open_loop_hold,0.09241827634587692,8.930313156319537,FALSE,3.349442238401336,3.381102099249685,0.031659860848349375,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.05,calibrated_open_loop_hold,0.0914965592473812,8.928062046649881,FALSE,3.349442238401336,3.380778443302399,0.03133620490106326,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.06,calibrated_open_loop_hold,0.09058403472900328,8.925833388018646,FALSE,3.349442238401336,3.380458015279636,0.031015776878300372,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.07,calibrated_open_loop_hold,0.0896806111101946,8.923626956514429,FALSE,3.349442238401336,3.380140782988271,0.030698544586935217,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.08,calibrated_open_loop_hold,0.08878619762476607,8.921442530458966,FALSE,3.349442238401336,3.3798267145562497,0.03038447615491391,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.09,calibrated_open_loop_hold,0.08790070441176895,8.919279890384864,FALSE,3.349442238401336,3.3795157784293886,0.030073540028052737,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.1,calibrated_open_loop_hold,0.08702404250646649,8.917138819013545,FALSE,3.349442238401336,3.3792079433682036,0.029765704966867812,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.11,calibrated_open_loop_hold,0.08615612383139581,8.915019101233419,FALSE,3.349442238401336,3.3789031784447734,0.029460940043437578,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.12,calibrated_open_loop_hold,0.08529686118751882,8.912920524078277,FALSE,3.349442238401336,3.3786014530396296,0.02915921463829374,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.1300000000000001,calibrated_open_loop_hold,0.08444616824546138,8.91084287670589,FALSE,3.349442238401336,3.3783027368386818,0.02886049843734595,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.1400000000000001,calibrated_open_loop_hold,0.08360395953683984,8.908785950376824,FALSE,3.349442238401336,3.378006999830172,0.02856476142883624,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.1500000000000001,calibrated_open_loop_hold,0.0827701504456742,8.906749538433472,FALSE,3.349442238401336,3.3777142123016586,0.028271973900322767,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.16,calibrated_open_loop_hold,0.08194465719988676,8.904733436279285,FALSE,3.349442238401336,3.3774243448370322,0.02798210643569643,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.17,calibrated_open_loop_hold,0.0811273968628855,8.902737441358227,FALSE,3.349442238401336,3.37713736831356,0.027695129912224115,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.18,calibrated_open_loop_hold,0.08031828732523175,8.900761353134415,FALSE,3.349442238401336,3.376853253898958,0.02741101549762215,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.19,calibrated_open_loop_hold,0.07951724729639051,8.898804973071975,FALSE,3.349442238401336,3.3765719730484975,0.02712973464716173,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.2,calibrated_open_loop_hold,0.0787241962965634,8.896868104615098,FALSE,3.349442238401336,3.376293497502135,0.02685125910079922,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.21,calibrated_open_loop_hold,0.07793905464860283,8.894950553168284,FALSE,3.349442238401336,3.3760177992816733,0.026575560880337523,TRUE
open_loop_lookup,up,lqr_steady_state_lookup_up.csv,low,8.704600000000001,2.4423,1.22,calibrated_open_loop_hold,0.07716174347000698,8.8930521260768,FALSE,3.349442238401336,3.3757448506879504,0.02630261228661457,TRUE
