branch,input_dataset,voltage_bin_width_v,nominal_ts_s,max_terminal_s_sd_mm,max_terminal_s_slope_mm_s,max_terminal_p_sd_bar,max_terminal_p_slope_bar_s,modal_hold_samples,modal_hold_duration_s,total_directional_holds,complete_directional_holds,stable_directional_holds,excluded_directional_holds,voltage_bins_present,voltage_bins_with_min_repeats,bins_likely_sufficient,bins_possibly_sufficient,bins_poor_or_dynamic,branch_s_span_mm,branch_p_span_bar,s_bin_sd_p95_mm,p_bin_sd_p95_bar,s_repeatability_sd_p95_pct_branch_span,p_repeatability_sd_p95_pct_branch_span,assessment
up,experiment/excitation_experiment_100hz_15min_4s_hold.csv,0.1,0.01,0.6,1.2,0.12,0.25,400,4,419,419,419,0,56,50,42,8,0,24.54,3.32,0.8264466306254501,0.023094010767584966,3.3677531810328043,0.6956027339634026,possibly_sufficient
down,experiment/excitation_experiment_100hz_15min_4s_hold.csv,0.1,0.01,0.6,1.2,0.12,0.25,400,4,419,418,418,1,58,50,47,3,0,24.42,3.48,0.7209850391142176,0.024139814716107835,2.952436687609409,0.6936728366697653,likely_sufficient
