run_id,file,step_v,settle_ms,n_usable,window_low_v,window_high_v,p_span_global,s_span_global,p_sd_bar_p95,s_sd_mm_p95,p_mad_bar_median,s_mad_mm_median,p_repeatability_pct,s_repeatability_pct,settle_assessment
step_0.01V_settle_200ms,static_threshold_hysteresis_step_0p01v_settle_time_200ms_p_voltage_bar.csv,0.01,200,6248,0.5576893488546546,8.363223659138972,4.7393,35.987,0.0092769876576398,1.4101429657500844,0.0018000000000001348,0.09799999999999898,0.1957459468199903,3.918478799983562,settling possibly sufficient
step_0.05V_settle_400ms,static_threshold_hysteresis_step_0p05v_settle_time_400ms_p_voltage_bar.csv,0.05,400,1248,0.5576893488546546,8.363223659138972,4.706099999999999,34.521,0.021865457204850405,0.7355967660576777,0.0022499999999999742,0.07300000000000029,0.4646194769522622,2.130867489521386,settling likely sufficient
step_0.10V_settle_600ms,static_threshold_hysteresis_step_0p10v_settle_time_600ms_p_voltage_bar.csv,0.1,600,624,0.5576893488546546,8.363223659138972,4.695200000000001,35.84,0.03126654482065365,0.43357016910204244,0.003150000000000208,0.02450000000000241,0.6659257288433643,1.2097381950391808,settling likely sufficient
