branch,s_ref_mm,u_ff_v,p_ff_bar
down,2.74,1.224,0.38
down,2.873668341708543,1.317,0.44000000000000006
down,3.0073366834170856,1.416,0.5
down,3.1410050251256285,1.4299999999999997,0.5799999999999998
down,3.274673366834171,1.4859999999999998,0.5800000000000001
down,3.408341708542714,1.524,0.5800000000000001
down,3.542010050251257,1.524,0.6199999999999999
down,3.6756783919597993,1.5619999999999994,0.6199999999999999
down,3.8093467336683418,1.5895000000000001,0.6200000000000001
down,3.9430150753768847,1.5895000000000001,0.6600000000000001
down,4.076683417085428,1.6260000000000012,0.6600000000000001
down,4.21035175879397,1.6624999999999996,0.6600000000000001
down,4.344020100502513,1.6624999999999996,0.7000000000000002
down,4.477688442211056,1.7189999999999994,0.7000000000000002
down,4.611356783919598,1.7189999999999994,0.7400000000000002
down,4.745025125628141,1.8025000000000002,0.7400000000000002
down,4.878693467336683,1.8025000000000002,0.7799999999999994
down,5.012361809045227,1.8699999999999992,0.7799999999999994
down,5.146030150753769,1.8699999999999992,0.8200000000000003
down,5.2796984924623125,1.9284999999999979,0.8200000000000003
down,5.413366834170855,1.9284999999999979,0.8599999999999994
down,5.547035175879397,2.0040000000000013,0.8599999999999994
down,5.68070351758794,2.0040000000000013,0.9199999999999999
down,5.814371859296482,2.088000000000001,0.9199999999999999
down,5.948040201005026,2.088000000000001,0.9600000000000009
down,6.081708542713568,2.1585,0.9600000000000009
down,6.215376884422112,2.1585,1
down,6.349045226130654,2.2379999999999995,1
down,6.4827135678391965,2.2379999999999995,1.0399999999999991
down,6.616381909547739,2.2905000000000015,1.0399999999999991
down,6.750050251256281,2.2905000000000015,1.0799999999999983
down,6.883718592964825,2.3619999999999983,1.0799999999999983
down,7.017386934673367,2.3619999999999983,1.120000000000001
down,7.15105527638191,2.4354999999999976,1.120000000000001
down,7.284723618090453,2.4354999999999976,1.1600000000000001
down,7.418391959798996,2.516999999999996,1.1799999999999997
down,7.552060301507538,2.5619999999999976,1.1999999999999993
down,7.68572864321608,2.570999999999998,1.2399999999999984
down,7.819396984924624,2.6315000000000026,1.2600000000000016
down,7.953065326633166,2.6315000000000026,1.2800000000000011
down,8.086733668341708,2.6950000000000003,1.2800000000000011
down,8.220402010050252,2.6950000000000003,1.3200000000000003
down,8.354070351758795,2.754000000000005,1.3200000000000003
down,8.487738693467337,2.754000000000005,1.3599999999999994
down,8.62140703517588,2.808500000000002,1.3599999999999994
down,8.755075376884424,2.808500000000002,1.3800000000000026
down,8.888743718592966,2.855250000000005,1.3800000000000026
down,9.022412060301509,2.855250000000005,1.4200000000000017
down,9.156080402010051,2.9195000000000064,1.4200000000000017
down,9.289748743718594,2.9195000000000064,1.4600000000000009
down,9.423417085427136,2.9710000000000036,1.4600000000000009
down,9.55708542713568,2.9710000000000036,1.4799999999999969
down,9.69075376884422,3.022500000000001,1.4799999999999969
down,9.824422110552764,3.022500000000001,1.5200000000000031
down,9.958090452261306,3.080999999999996,1.5200000000000031
down,10.091758793969849,3.080999999999996,1.5399999999999991
down,10.225427135678393,3.130499999999998,1.5600000000000023
down,10.359095477386935,3.130499999999998,1.5799999999999983
down,10.492763819095478,3.189000000000007,1.5799999999999983
down,10.626432160804022,3.189000000000007,1.6000000000000014
down,10.760100502512564,3.237000000000009,1.6000000000000014
down,10.893768844221109,3.237000000000009,1.6400000000000006
down,11.02743718592965,3.274000000000001,1.6400000000000006
down,11.161105527638192,3.274000000000001,1.6700000000000017
down,11.294773869346734,3.338000000000008,1.6700000000000017
down,11.428442211055277,3.338000000000008,1.7000000000000028
down,11.56211055276382,3.386499999999998,1.7000000000000028
down,11.695778894472362,3.386499999999998,1.7299999999999969
down,11.829447236180906,3.4394999999999953,1.7299999999999969
down,11.963115577889448,3.4394999999999953,1.7600000000000051
down,12.096783919597993,3.4779999999999944,1.7600000000000051
down,12.230452261306532,3.4779999999999944,1.7999999999999972
down,12.364120603015076,3.528499999999994,1.7999999999999972
down,12.497788944723618,3.528499999999994,1.8199999999999932
down,12.63145728643216,3.5829999999999984,1.8199999999999932
down,12.765125628140703,3.585000000000008,1.8400000000000034
down,12.898793969849248,3.651999999999987,1.8400000000000034
down,13.03246231155779,3.673000000000002,1.8599999999999994
down,13.166130653266332,3.7139999999999986,1.9000000000000057
down,13.299798994974877,3.747499999999988,1.9200000000000017
down,13.433467336683416,3.747499999999988,1.9599999999999937
down,13.56713567839196,3.807000000000002,1.9599999999999937
down,13.700804020100504,3.807000000000002,1.980000000000004
down,13.834472361809048,3.8404999999999916,1.980000000000004
down,13.968140703517587,3.8404999999999916,2
down,14.101809045226132,3.8669999999999902,2
down,14.235477386934674,3.887999999999991,2
down,14.369145728643216,3.887999999999991,2.0400000000000063
down,14.50281407035176,3.9265000000000043,2.0400000000000063
down,14.636482412060303,3.9265000000000043,2.0600000000000023
down,14.770150753768846,3.960499999999996,2.0600000000000023
down,14.903819095477388,3.960499999999996,2.0799999999999983
