source_file,controller,filename_branch,inferred_branch,filename_branch_mismatch,segment_id,xref_mm,n_samples,duration_s,tail_n_samples,median_dt_ms,u_ss_v,s_ss_mm,p_ss_bar,tracking_error_mm,abs_tracking_error_mm,u_tail_sd_v,s_tail_sd_mm,p_tail_sd_bar,u_tail_slope_v_s,s_tail_slope_mm_s,p_tail_slope_bar_s,matched_s_ref_mm,match_distance_mm,original_u_ff_v,original_p_ff_bar,exclusion_reason,keep_for_corrected_lookup,raw_u_correction_v,raw_p_correction_bar
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,1,0,2,0.01,2,5,0.279,0,-0.15,0,0,0.39456558390209356,0,0.21213203435596426,0,0,0,2.74,2.74,0.8289671809180673,0.3824036625174389,startup_or_zero_reference,FALSE,-0.5499671809180673,-0.5324036625174389
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,2,5,403,4.03,100,10,2.089,3.74,0.92,-1.2599999999999998,1.2599999999999998,0.006307114789640034,0.01395374755064267,0,-0.01975217521752121,0.04391239123912418,0,5.012361809045227,0.012361809045226657,1.4909630028585317,0.6943780701313857,down_branch_warmup,FALSE,0.5980369971414683,0.2256219298686143
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,3,10,774,7.74,100,10,3.478,9.14,1.8,-0.8599999999999994,0.8599999999999994,0.003080256450034675,0.006666666666666584,0,-0.003947794779478273,0.011857185718572267,0,9.958090452261306,0.04190954773869393,3.044421126064581,1.6292967926591235,down_branch_warmup,FALSE,0.4335788739354194,0.17070320734087652
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,4,15,963,9.63,100,10,4.453,14.5,2.4,-0.5,0.5,0.003158506231774881,0.006531972647421669,0,-0.0053741374137417945,0.012577257725774784,0,15.03748743718593,0.03748743718593062,4.1991719451994935,2.316033402822367,down_branch_warmup,FALSE,0.25382805480050674,0.08396659717763288
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,5,20,913,9.13,100,10,5.307,19.88,2.9,-0.120000000000001,0.120000000000001,0.004054913467920344,0.008923920866769283,0.005752469825293232,-0.01050885088508898,0.023654365436542747,-0.006060606060605752,19.98321608040201,0.01678391959799086,5.212224556264825,2.911069648127709,down_branch_warmup,FALSE,0.0947754437351751,-0.011069648127709275
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,6,25,453,4.53,100,10,6.27,25.44,3.48,0.4400000000000013,0.4400000000000013,0.005887531766625927,0.013240586516960789,0.010048367875913837,-0.017412541254126494,0.040984098409841976,-0.029990999099910078,25.062613065326637,0.06261306532663724,6.472102908244862,3.5746707665339548,down_branch_warmup,FALSE,-0.20210290824486243,-0.09467076653395479
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,7,28,488,4.88,100,10,6.816,28.54,3.82,0.5399999999999991,0.5399999999999991,0.006334601149020303,0.012801515061850332,0.00438085827115181,-0.019597359735973152,0.03895589558955592,-0.005700570057006165,28.00331658291457,0.0033165829145715975,7.0459472001154095,3.88950686446587,down_branch_warmup,FALSE,-0.2299472001154097,-0.06950686446587007
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,8,28.939,400,4,100,10,7.114,29.68,3.92,0.7409999999999997,0.7409999999999997,0.0020845511592075625,0.004380858271151713,0,-0.003586558655867405,0.005700570057000859,0,28.938994974874376,5.025125624058546e-6,7.433304248515304,4.121772498857926,NA,TRUE,-0.31930424851530415,-0.2017724988579257
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,9,28.805,400,4,100,10,6.972,29.8,3.9,0.995000000000001,0.995000000000001,4.351941398890034e-4,0,0,-0.0011239123912383472,0,0,28.805326633165834,3.2663316583381174e-4,7.418612368060398,4.1114532333574925,NA,TRUE,-0.4466123680603973,-0.21145323335749255
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,10,28.672,400,4,100,10,6.904,29.74,3.82,1.0679999999999978,1.0679999999999978,0.001982244417142689,0.003938927711339263,0,-6.600660066006771e-4,-0.0017761776177587754,0,28.67165829145729,3.417085427095401e-4,7.387611670794162,4.090946667720008,NA,TRUE,-0.48361167079416223,-0.2709466677200081
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,11,28.538,400,4,100,10,6.796,29.72,3.78,1.1819999999999986,1.1819999999999986,0.0049225927306572785,0.009920899274976953,0,-0.002737473747375417,0.002856285628565845,0,28.53798994974875,1.0050251251669806e-5,7.340302156716597,4.060252801945476,NA,TRUE,-0.5443021567165971,-0.28025280194547664
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,12,28.404,400,4,100,10,6.793,29.46,3.74,1.056000000000001,1.056000000000001,4.578165130224959e-4,0,0,-0.0012127212721257468,0,0,28.40432160804021,3.216080402097532e-4,7.280693259960088,4.023099666136561,NA,TRUE,-0.4876932599600883,-0.283099666136561
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,13,28.271,400,4,100,10,6.702,29.36,3.7,1.0889999999999986,1.0889999999999986,4.7258156262541866e-4,0,0,-0.0013255325532575196,0,0,28.270653266331657,3.467336683442568e-4,7.211764468274386,3.9822576312869886,NA,TRUE,-0.509764468274386,-0.28225763128698844
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,14,28.137,400,4,100,10,6.648,29.16,3.68,1.0229999999999997,1.0229999999999997,4.852365870940718e-4,0,0,-0.0013975397539768653,0,0,28.13698492462311,1.5075376889939207e-5,7.133515781659494,3.937726697396758,NA,TRUE,-0.48551578165949394,-0.257726697396758
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,15,28.003,400,4,100,10,6.589,28.96,3.62,0.9570000000000007,0.9570000000000007,4.2295258468179195e-4,0,0,-0.0010615061506154078,0,0,28.00331658291457,3.165829145714838e-4,7.0459472001154095,3.88950686446587,NA,TRUE,-0.4569472001154091,-0.2695068644658698
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,16,27.87,400,4,100,10,6.528,28.76,3.58,0.8900000000000006,0.8900000000000006,0.003856242479487778,0.008187203614806472,0.008459051693633021,0.0026324632463247304,-0.008268826882684072,8.280828082810722e-4,27.86964824120603,3.5175879397186804e-4,6.959045836572549,3.8432711327580407,NA,TRUE,-0.43104583657254913,-0.2632711327580406
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,17,27.736,400,4,100,10,6.456,28.64,3.54,0.9039999999999999,0.9039999999999999,5.024183937958591e-4,0,0,-0.0014983498349839287,0,0,27.735979899497487,2.0100502513997753e-5,6.8964242050229885,3.8112732569966106,NA,TRUE,-0.44042420502298807,-0.27127325699661053
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,18,27.602,400,4,100,10,6.386,28.56,3.52,0.9579999999999984,0.9579999999999984,4.6482319871147415e-4,0,0,-0.0012823282328225133,0,0,27.602311557788944,3.1155778894387254e-4,6.858082305466728,3.793513237181579,NA,TRUE,-0.4720823054667278,-0.27351323718157916
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,19,27.469,400,4,100,10,6.358,28.44,3.5,0.9710000000000001,0.9710000000000001,5.016135580463138e-4,0,0,-0.001493549354934818,0,0,27.4686432160804,3.567839195994793e-4,6.840010703771383,3.7874498720151983,NA,TRUE,-0.4820107037713832,-0.28744987201519834
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,20,27.335,400,4,100,10,6.306,28.4,3.5,1.0649999999999977,1.0649999999999977,4.852365870940718e-4,0,0,-0.0013975397539761727,0,0,27.33497487437186,2.5125628141609013e-5,6.839229912187199,3.7874498720151983,NA,TRUE,-0.5332299121871991,-0.28744987201519834
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,21,27.201,400,4,100,10,6.306,28.26,3.46,1.059000000000001,1.059000000000001,5.302943722238706e-4,0,0,-0.001432943294329793,0,0,27.201306532663317,3.065326633162613e-4,6.838883449897395,3.7874498720151983,NA,TRUE,-0.5328834498973949,-0.3274498720151984
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,22,27.068,400,4,100,10,6.257,28.2,3.46,1.131999999999998,1.131999999999998,5.23778039195268e-4,0,0,-0.001465346534654287,0,0,27.067638190954774,3.6180904522709056e-4,6.831608367232991,3.7850661242721544,NA,TRUE,-0.5746083672329911,-0.3250661242721544
