level,branch,n_points,s_min_mm,s_max_mm,u_rmse_v,u_mae_v,u_p95_abs_v,p_rmse_bar,p_mae_bar,p_p95_abs_bar,dataset_role
branch,up,419,3.7000000000000006,28.243000000000002,0.12012316557082439,0.08523339214627804,0.2306104677337912,0.06869360241507608,0.05106119728663601,0.13596126806071623,single_design_dataset
branch,down,418,2.2679999999999993,26.68,0.12524227356602582,0.0946263928498082,0.24604132485445868,0.07183262098678529,0.055033692802040644,0.1480303565101085,single_design_dataset
global,global,837,2.2679999999999993,28.243000000000002,0.12270635952351493,0.08992428138651173,0.24069272388119356,0.07027876433234544,0.053045071988474884,0.14475129297671613,single_design_dataset
