branch,time_since_step_s,elapsed_after_creep_start_s,creep_fraction,selected_model,pressure_plateau_start_s,calibrated_horizon_s,runtime_horizon_s,interval
up,0.63,0.32,0.1393910977529408,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.64,0.33,0.13800090564747305,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.65,0.34,0.13662457837355668,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.66,0.35000000000000003,0.1352619776527817,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.67,0.36000000000000004,0.1339129665858329,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.68,0.37000000000000005,0.1325774096387361,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.6900000000000001,0.38000000000000006,0.13125517262924066,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.7000000000000001,0.39000000000000007,0.12994612271333866,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.71,0.39999999999999997,0.128650128371918,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.72,0.41,0.1273670593975489,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.73,0.42,0.12609678688140194,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.74,0.43,0.12483918320029687,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.75,0.44,0.1235941220038803,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.76,0.45,0.12236147820193143,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.77,0.46,0.12114112795179431,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.78,0.47000000000000003,0.11993294864593551,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.79,0.48000000000000004,0.11873681889962588,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.8,0.49000000000000005,0.117552618538745,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.81,0.5,0.1163802285877076,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.8200000000000001,0.51,0.1152195312575099,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.8300000000000001,0.52,0.11407040993389576,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.84,0.53,0.11293274916564039,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.85,0.54,0.11180643465295101,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.86,0.55,0.11069135323598334,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
