u[V],p[bar],s[mm] 
6.300,3.561,23.730
6.400,3.637,24.512
6.500,3.678,24.951
6.600,3.768,25.537
6.700,3.804,26.123
6.800,3.884,26.904
6.900,3.920,27.148
7.000,3.992,27.930
7.100,4.042,28.271
7.200,4.113,28.906
7.300,4.167,29.346
7.400,4.239,29.932
7.500,4.279,30.322
7.600,4.356,30.762
7.700,4.410,31.250
7.800,4.477,31.641
7.900,4.531,32.227
8.000,4.598,32.568
8.100,4.657,33.105
8.200,4.710,33.447
8.300,4.773,33.936
8.400,4.832,34.229
8.500,4.899,34.766
8.600,4.953,35.010
8.700,5.020,35.547
8.800,5.083,35.889
8.900,5.146,36.328
9.000,5.177,36.523
9.100,5.245,36.914
9.200,5.245,36.914
9.300,5.240,36.963
9.400,5.240,37.012
9.500,5.236,37.012
9.600,5.236,37.012
9.700,5.240,37.061
9.800,5.240,37.061
9.900,5.236,37.061
10.000,5.231,37.109
10.100,5.236,37.109
10.000,5.231,37.109
9.900,5.236,37.109
9.800,5.231,37.158
9.700,5.236,37.158
9.600,5.231,37.207
9.500,5.231,37.207
9.400,5.231,37.207
9.300,5.222,37.207
9.200,5.231,37.207
9.100,5.227,37.256
9.000,5.231,37.256
8.900,5.204,37.256
8.800,5.115,37.158
8.700,5.079,37.109
8.600,5.002,36.816
8.500,4.966,36.719
8.400,4.868,36.328
8.300,4.841,36.182
8.200,4.751,35.840
8.100,4.719,35.693
8.000,4.625,35.303
7.900,4.598,35.156
7.800,4.482,34.570
7.700,4.464,34.521
7.600,4.383,34.033
7.500,4.351,33.936
7.400,4.239,33.252
7.300,4.221,33.154
7.200,4.109,32.471
7.100,4.086,32.422
7.000,3.974,31.738
6.900,3.970,31.641
6.800,3.857,31.006
6.700,3.844,30.811
6.600,3.727,30.176
6.500,3.718,29.883
6.400,3.619,29.346
6.300,3.602,29.053
6.200,3.498,28.418
6.100,3.462,27.930
6.000,3.395,27.539
5.900,3.332,26.904
5.800,3.283,26.563
5.700,3.202,25.635
5.600,3.175,25.488
5.500,3.045,24.365
5.400,3.040,24.219
5.300,2.946,23.633
5.200,2.901,22.900
5.100,2.847,22.510
5.000,2.784,21.729
4.900,2.722,21.143
4.800,2.654,20.654
4.700,2.605,19.873
4.600,2.533,19.141
4.500,2.475,18.555
4.400,2.407,18.018
4.300,2.353,17.236
4.200,2.304,16.895
4.100,2.223,15.869
4.000,2.178,15.479
