u[V],p[V],s[mm],p[bar]
0,0.786,-0.049,0
0.1,0.776,0,0
0.2,0.825,-0.049,0
0.3,0.942,0.049,0
0.4,0.981,0.098,0
0.5,1.06,0.244,0
0.6,1.104,0.293,0
0.7,1.191,0.488,0.07190000000000007
0.8,1.25,0.537,0.125
0.9,1.323,0.732,0.1907000000000001
1,1.382,0.83,0.24380000000000002
1.1,1.436,0.977,0.2924
1.2,1.548,1.172,0.3932
1.3,1.592,1.318,0.4328000000000001
1.4,1.655,1.465,0.48950000000000005
1.5,1.719,1.66,0.5471000000000001
1.6,1.807,1.807,0.6263000000000001
1.7,1.86,2.002,0.6740000000000002
1.8,1.938,2.197,0.7442
1.9,1.992,2.441,0.7928
2,2.07,2.588,0.863
2.1,2.124,2.881,0.9116000000000002
2.2,2.188,3.027,0.9692000000000003
2.3,2.246,3.271,1.0213999999999999
2.4,2.344,3.564,1.1096
2.5,2.397,3.809,1.1572999999999998
2.6,2.446,3.955,1.2014
2.7,2.515,4.297,1.2635
2.8,2.612,4.59,1.3508
2.9,2.666,4.932,1.3994
3,2.715,5.078,1.4434999999999998
3.1,2.788,5.469,1.5091999999999999
3.2,2.881,5.859,1.5928999999999998
3.3,2.939,6.152,1.6451000000000002
3.4,2.983,6.396,1.6847000000000003
3.5,3.057,6.885,1.7513
3.6,3.154,7.227,1.8386
3.7,3.193,7.617,1.8737
3.8,3.252,7.813,1.9268
3.9,3.325,8.301,1.9925000000000002
4,3.418,8.984,2.0762
4.1,3.452,9.131,2.1068000000000002
4.2,3.535,9.717,2.1815
4.3,3.628,10.205,2.2652
4.4,3.662,10.596,2.2958
4.5,3.706,10.889,2.3354
4.6,3.789,11.523,2.4101000000000004
4.7,3.882,12.109,2.4938000000000002
4.8,3.931,12.646,2.5379
4.9,3.989,13.184,2.5901
5,4.077,14.014,2.6693000000000002
5.1,4.116,14.16,2.7043999999999997
5.2,4.194,14.99,2.7746
5.3,4.282,15.576,2.8538
