u[V],p[V],s[mm],p[bar]
5.4,4.321,16.113,2.8889
5.5,4.404,16.895,2.9636
5.6,4.487,17.578,3.0383000000000004
5.7,4.531,18.066,3.0778999999999996
5.8,4.609,18.604,3.1481000000000003
5.9,4.658,19.189,3.1922000000000006
6,4.722,19.971,3.2498000000000005
6.1,4.8,20.557,3.3200000000000003
6.2,4.858,21.24,3.3721999999999994
6.3,4.932,21.826,3.4388000000000005
6.4,4.995,22.51,3.4955
6.5,5.039,22.803,3.5351
6.6,5.127,23.73,3.6143
6.7,5.205,24.268,3.6845
6.8,5.259,24.805,3.7331000000000003
6.9,5.322,25.586,3.7898000000000005
7,5.396,26.221,3.8564
7.1,5.454,26.563,3.9086
7.2,5.532,27.246,3.9788000000000006
7.3,5.615,27.734,4.0535000000000005
7.4,5.664,28.369,4.0976
7.5,5.742,29.004,4.1678
7.6,5.815,29.492,4.2335
7.7,5.859,29.785,4.2731
7.8,5.942,30.42,4.3478
7.9,6.011,30.957,4.4099
8,6.074,31.348,4.4666
8.1,6.152,31.738,4.5368
8.2,6.196,32.227,4.5764
8.3,6.279,32.666,4.6511000000000005
8.4,6.338,33.154,4.7042
8.5,6.406,33.545,4.7654
8.6,6.479,34.082,4.8311
8.7,6.543,34.473,4.8887
8.8,6.616,34.814,4.9544
8.9,6.665,35.205,4.9985
9,6.743,35.547,5.068700000000001
9.1,6.816,35.889,5.1344
9.2,6.875,36.279,5.1875
9.3,6.948,36.523,5.2532000000000005
9.4,7.002,36.914,5.3018
9.5,7.075,37.158,5.367500000000001
9.6,7.129,37.598,5.4161
9.7,7.202,37.939,5.4818
9.8,7.256,38.086,5.5304
9.9,7.334,38.525,5.6006
10,7.402,38.818,5.6618
10.1,7.397,38.916,5.6573
10,7.402,38.916,5.6618
9.9,7.397,38.965,5.6573
9.8,7.324,38.965,5.5916
9.7,7.275,38.965,5.5475
9.6,7.158,38.721,5.442200000000001
9.5,7.119,38.623,5.4071
9.4,7.031,38.428,5.3279
9.3,7.002,38.33,5.3018
9.2,6.914,38.037,5.2226
9.1,6.855,37.891,5.1695
9,6.772,37.646,5.0948
8.9,6.729,37.5,5.0561
8.8,6.66,37.305,4.994000000000001
8.7,6.592,37.012,4.932799999999999
8.6,6.504,36.768,4.8536
8.5,6.455,36.523,4.8095
8.4,6.343,36.133,4.7087
8.3,6.328,35.986,4.695200000000001
8.2,6.25,35.742,4.625
8.1,6.196,35.449,4.5764
8,6.089,35.059,4.4801
7.9,6.064,34.863,4.4576
7.8,5.952,34.375,4.3568
7.7,5.933,34.18,4.3397
7.6,5.845,33.789,4.2604999999999995
7.5,5.791,33.496,4.211900000000001
7.4,5.688,32.959,4.1192
7.3,5.654,32.764,4.0886000000000005
7.2,5.566,32.324,4.0094
7.1,5.527,32.031,3.9743000000000004
7,5.439,31.543,3.8951000000000002
6.9,5.391,31.104,3.8519000000000005
6.8,5.332,30.859,3.7988
6.7,5.244,30.225,3.7196
6.6,5.19,29.932,3.6710000000000003
6.5,5.107,29.297,3.5963000000000003
6.4,5.029,28.76,3.5261000000000005
6.3,4.995,28.467,3.4955
6.2,4.893,27.686,3.4036999999999997
6.1,4.858,27.49,3.3721999999999994
6,4.766,26.709,3.2894000000000005
5.9,4.727,26.465,3.2543000000000006
5.8,4.634,25.586,3.1706000000000003
5.7,4.59,25.293,3.1310000000000002
5.6,4.492,24.365,3.0427999999999997
5.5,4.468,24.219,3.0212000000000003
5.4,4.351,23.242,2.9159
5.3,4.316,22.852,2.8844
5.2,4.209,22.168,2.7880999999999996
5.1,4.189,21.729,2.7701000000000002
5,4.063,20.557,2.6567
4.9,4.053,20.313,2.6477
4.8,3.95,19.727,2.555
4.7,3.921,19.043,2.5288999999999997
4.6,3.813,18.408,2.4317
4.5,3.779,17.676,2.4011
4.4,3.696,17.188,2.3264
4.3,3.657,16.553,2.2913
4.2,3.55,15.918,2.195
4.1,3.481,14.844,2.1329
4,3.457,14.6,2.1113
3.9,3.354,14.063,2.0186
3.8,3.291,13.281,1.9619
3.7,3.257,12.988,1.9313000000000002
3.6,3.13,11.816,1.8170000000000002
3.5,3.12,11.719,1.8080000000000003
3.4,3.022,11.279,1.7197999999999998
3.3,2.954,10.547,1.6586000000000003
3.2,2.925,10.4,1.6324999999999998
3.1,2.803,9.375,1.5227
3,2.788,9.229,1.5091999999999999
2.9,2.661,8.447,1.3949000000000003
2.8,2.656,8.398,1.3904
2.7,2.529,7.617,1.2761
2.6,2.515,7.568,1.2635
2.5,2.441,7.227,1.1968999999999999
2.4,2.329,6.543,1.0961000000000003
2.3,2.324,6.494,1.0916000000000001
2.2,2.251,6.25,1.0259
2.1,2.119,5.371,0.9071000000000002
2,2.124,5.371,0.9116000000000002
1.9,2.051,5.225,0.8459000000000001
1.8,1.924,4.492,0.7316
1.7,1.924,4.443,0.7316
1.6,1.86,4.297,0.6740000000000002
1.5,1.724,3.662,0.5516000000000001
1.4,1.714,3.613,0.5426
1.3,1.66,3.467,0.494
1.2,1.519,2.881,0.3671
1.1,1.514,2.832,0.36260000000000003
1,1.47,2.734,0.32299999999999995
0.9,1.309,2.1,0.17809999999999993
0.8,1.309,2.1,0.17809999999999993
0.7,1.274,2.051,0.14660000000000006
0.6,1.113,1.465,0.0017000000000000348
0.5,1.108,1.465,0
0.4,1.074,1.416,0
0.3,0.957,1.025,0
0.2,0.928,0.977,0
0.1,0.786,0.586,0
0,0.786,0,0
0.1,0.786,0,0
0.2,0.845,0,0
0.3,0.957,0.098,0
0.4,1.016,0.195,0
0.5,1.079,0.293,0
0.6,1.138,0.342,0.0242
0.7,1.226,0.488,0.10339999999999994
0.8,1.27,0.635,0.14300000000000002
0.9,1.348,0.732,0.21320000000000006
1,1.392,0.879,0.2527999999999999
1.1,1.484,1.025,0.3356000000000001
1.2,1.548,1.172,0.3932
1.3,1.582,1.27,0.4238000000000002
1.4,1.709,1.563,0.5381
1.5,1.763,1.709,0.5867
1.6,1.812,1.807,0.6308
1.7,1.885,2.051,0.6965000000000001
1.8,1.948,2.197,0.7532000000000001
1.9,2.012,2.441,0.8108
2,2.061,2.49,0.8549
2.1,2.153,2.881,0.9377
2.2,2.212,2.979,0.9908000000000001
2.3,2.261,3.223,1.0349000000000004
2.4,2.339,3.564,1.1051000000000002
2.5,2.412,3.711,1.1707999999999998
2.6,2.495,4.004,1.2455000000000003
2.7,2.534,4.199,1.2805999999999997
2.8,2.622,4.59,1.3598
2.9,2.676,4.785,1.4084000000000003
3,2.744,5.127,1.4696000000000002
3.1,2.813,5.518,1.5317000000000003
3.2,2.881,5.713,1.5928999999999998
3.3,2.959,6.201,1.6631
3.4,3.018,6.445,1.7161999999999997
3.5,3.081,6.885,1.7729
3.6,3.154,7.129,1.8386
3.7,3.223,7.568,1.9007
3.8,3.281,7.813,1.9529
3.9,3.359,8.398,2.0231
4,3.413,8.838,2.0717
4.1,3.481,9.082,2.1329
4.2,3.555,9.766,2.1995
4.3,3.613,10.059,2.2517
4.4,3.687,10.645,2.3183
4.5,3.716,10.791,2.3444000000000003
4.6,3.813,11.523,2.4317
4.7,3.877,12.061,2.4893
4.8,3.979,12.646,2.5811
4.9,4.023,13.281,2.6207
5,4.077,13.818,2.6693000000000002
5.1,4.15,14.209,2.7350000000000003
5.2,4.214,14.893,2.7926000000000006
5.3,4.277,15.576,2.8493000000000004
5.4,4.351,16.064,2.9159
5.5,4.414,16.699,2.9726
5.6,4.473,17.334,3.0256999999999996
5.7,4.536,17.773,3.0824
5.8,4.604,18.604,3.1436
5.9,4.697,19.238,3.2273000000000005
6,4.756,20.02,3.2804
6.1,4.819,20.557,3.3371000000000004
6.2,4.873,21.24,3.3857
6.3,4.941,21.68,3.4469000000000003
6.4,5,22.51,3.5
6.5,5.078,23.193,3.5702000000000007
6.6,5.151,23.877,3.6359000000000004
6.7,5.22,24.561,3.6979999999999995
6.8,5.283,25.146,3.7547000000000006
6.9,5.332,25.635,3.7988
7,5.439,26.27,3.8951000000000002
7.1,5.493,26.855,3.9437000000000006
7.2,5.581,27.441,4.022900000000001
7.3,5.63,27.979,4.067
7.4,5.698,28.516,4.1282000000000005
7.5,5.723,28.76,4.1507
7.6,5.815,29.59,4.2335
7.7,5.889,29.98,4.3001000000000005
7.8,5.942,30.518,4.3478
7.9,6.001,31.006,4.4009
8,6.099,31.641,4.4891000000000005
8.1,6.138,31.885,4.5242000000000004
8.2,6.206,32.324,4.585400000000001
8.3,6.245,32.568,4.6205
8.4,6.343,33.301,4.7087
8.5,6.401,33.691,4.7609
8.6,6.475,34.033,4.8275
8.7,6.543,34.424,4.8887
8.8,6.621,34.961,4.958900000000001
8.9,6.675,35.205,5.0075
9,6.748,35.596,5.0732
9.1,6.787,35.84,5.1083
9.2,6.875,36.328,5.1875
9.3,6.943,36.67,5.2486999999999995
9.4,7.007,37.012,5.3063
9.5,7.065,37.305,5.3585
9.6,7.134,37.695,5.4206
9.7,7.192,37.891,5.4728
9.8,7.266,38.428,5.5394000000000005
9.9,7.314,38.525,5.5826
10,7.383,38.965,5.6447
10.1,7.393,38.965,5.6537
10,7.388,39.063,5.6492000000000004
9.9,7.383,39.063,5.6447
9.8,7.324,39.063,5.5916
9.7,7.275,39.063,5.5475
9.6,7.158,38.867,5.442200000000001
9.5,7.119,38.77,5.4071
9.4,7.061,38.623,5.3549
9.3,6.978,38.428,5.2802
9.2,6.924,38.281,5.2316
9.1,6.865,38.135,5.1785000000000005
9,6.753,37.793,5.0777
8.9,6.724,37.598,5.0516000000000005
8.8,6.665,37.451,4.9985
8.7,6.587,37.109,4.9283
8.6,6.494,36.816,4.8446
8.5,6.465,36.67,4.8185
8.4,6.372,36.377,4.7348
8.3,6.328,36.133,4.695200000000001
8.2,6.25,35.84,4.625
8.1,6.191,35.596,4.5719
8,6.094,35.156,4.4846
7.9,6.064,34.961,4.4576
7.8,5.938,34.473,4.3442
7.7,5.923,34.277,4.3307
7.6,5.845,33.936,4.2604999999999995
7.5,5.801,33.643,4.2209
7.4,5.737,33.301,4.1633000000000004
7.3,5.63,32.813,4.067
7.2,5.591,32.568,4.0319
7.1,5.508,32.129,3.9572000000000003
7,5.464,31.787,3.9176
6.9,5.332,31.104,3.7988
6.8,5.322,30.859,3.7898000000000005
6.7,5.234,30.322,3.7106000000000003
6.6,5.2,30.078,3.6800000000000006
6.5,5.098,29.395,3.5881999999999996
6.4,5.054,29.102,3.5486000000000004
6.3,4.971,28.418,3.4739000000000004
6.2,4.932,28.174,3.4388000000000005
6.1,4.834,27.393,3.3506
6,4.81,27.148,3.3289999999999997
5.9,4.678,26.123,3.2102000000000004
5.8,4.663,25.879,3.1967000000000008
5.7,4.556,25.293,3.1004000000000005
5.6,4.521,24.756,3.0689
5.5,4.39,24.023,2.9509999999999996
5.4,4.375,23.438,2.9375
5.3,4.277,22.852,2.8493000000000004
5.2,4.258,22.314,2.8322000000000003
5.1,4.136,21.68,2.7224000000000004
5,4.106,21.045,2.6954
4.9,4.048,20.41,2.6432
4.8,3.979,19.824,2.5811
4.7,3.896,19.287,2.5064
4.6,3.843,18.408,2.4587
4.5,3.794,17.871,2.4146
4.4,3.677,17.285,2.3093
4.3,3.618,16.357,2.2561999999999998
4.2,3.589,15.967,2.2301
4.1,3.462,14.795,2.1158
4,3.452,14.697,2.1068000000000002
3.9,3.33,13.623,1.9970000000000003
3.8,3.315,13.477,1.9834999999999998
3.7,3.228,12.646,1.9052000000000002
3.6,3.193,12.402,1.8737
3.5,3.096,11.865,1.7864
3.4,3.003,10.986,1.7027
3.3,2.988,10.84,1.6892
3.2,2.856,9.814,1.5703999999999998
3.1,2.852,9.814,1.5667999999999997
3,2.769,9.375,1.4921000000000002
2.9,2.666,8.545,1.3994
2.8,2.656,8.496,1.3904
2.7,2.529,7.715,1.2761
2.6,2.52,7.666,1.2680000000000002
2.5,2.388,6.982,1.1492
2.4,2.383,6.885,1.1447000000000003
2.3,2.256,6.25,1.0303999999999998
2.2,2.256,6.152,1.0303999999999998
2.1,2.188,5.908,0.9692000000000003
2,2.051,5.273,0.8459000000000001
1.9,2.051,5.176,0.8459000000000001
1.8,1.982,5.029,0.7838
1.7,1.851,4.297,0.6658999999999999
1.6,1.851,4.297,0.6658999999999999
1.5,1.787,4.15,0.6083000000000001
1.4,1.65,3.516,0.4849999999999999
1.3,1.646,3.516,0.48140000000000005
1.2,1.602,3.32,0.4418000000000002
1.1,1.445,2.783,0.3005
1,1.445,2.637,0.3005
0.9,1.401,2.588,0.26090000000000013
0.8,1.245,2.051,0.12050000000000005
0.7,1.24,2.002,0.1160000000000001
0.6,1.211,1.904,0.08990000000000009
0.5,1.064,1.563,0
0.4,1.021,1.367,0
0.3,0.996,1.318,0
0.2,0.908,1.074,0
0.1,0.781,0.781,0
0,0.786,0,0
0.1,0.786,0,0
0.2,0.845,0,0
0.3,0.957,0.098,0
0.4,1.016,0.195,0
0.5,1.079,0.293,0
0.6,1.138,0.342,0.0242
0.7,1.226,0.488,0.10339999999999994
0.8,1.27,0.635,0.14300000000000002
0.9,1.348,0.732,0.21320000000000006
1,1.392,0.879,0.2527999999999999
1.1,1.484,1.025,0.3356000000000001
1.2,1.548,1.172,0.3932
1.3,1.582,1.27,0.4238000000000002
1.4,1.709,1.563,0.5381
1.5,1.763,1.709,0.5867
1.6,1.812,1.807,0.6308
1.7,1.885,2.051,0.6965000000000001
1.8,1.948,2.197,0.7532000000000001
1.9,2.012,2.441,0.8108
2,2.061,2.49,0.8549
2.1,2.153,2.881,0.9377
2.2,2.212,2.979,0.9908000000000001
2.3,2.261,3.223,1.0349000000000004
2.4,2.339,3.564,1.1051000000000002
2.5,2.412,3.711,1.1707999999999998
2.6,2.495,4.004,1.2455000000000003
2.7,2.534,4.199,1.2805999999999997
2.8,2.622,4.59,1.3598
2.9,2.676,4.785,1.4084000000000003
3,2.744,5.127,1.4696000000000002
3.1,2.813,5.518,1.5317000000000003
3.2,2.881,5.713,1.5928999999999998
3.3,2.959,6.201,1.6631
3.4,3.018,6.445,1.7161999999999997
3.5,3.081,6.885,1.7729
3.6,3.154,7.129,1.8386
3.7,3.223,7.568,1.9007
3.8,3.281,7.813,1.9529
3.9,3.359,8.398,2.0231
4,3.413,8.838,2.0717
4.1,3.481,9.082,2.1329
4.2,3.555,9.766,2.1995
4.3,3.613,10.059,2.2517
4.4,3.687,10.645,2.3183
4.5,3.716,10.791,2.3444000000000003
4.6,3.813,11.523,2.4317
4.7,3.877,12.061,2.4893
4.8,3.979,12.646,2.5811
4.9,4.023,13.281,2.6207
5,4.077,13.818,2.6693000000000002
5.1,4.15,14.209,2.7350000000000003
5.2,4.214,14.893,2.7926000000000006
5.3,4.277,15.576,2.8493000000000004
5.4,4.351,16.064,2.9159
5.5,4.414,16.699,2.9726
5.6,4.473,17.334,3.0256999999999996
5.7,4.536,17.773,3.0824
5.8,4.604,18.604,3.1436
5.9,4.697,19.238,3.2273000000000005
6,4.756,20.02,3.2804
6.1,4.819,20.557,3.3371000000000004
6.2,4.873,21.24,3.3857
6.3,4.941,21.68,3.4469000000000003
6.4,5,22.51,3.5
6.5,5.078,23.193,3.5702000000000007
6.6,5.151,23.877,3.6359000000000004
6.7,5.22,24.561,3.6979999999999995
6.8,5.283,25.146,3.7547000000000006
6.9,5.332,25.635,3.7988
7,5.439,26.27,3.8951000000000002
7.1,5.493,26.855,3.9437000000000006
7.2,5.581,27.441,4.022900000000001
7.3,5.63,27.979,4.067
7.4,5.698,28.516,4.1282000000000005
7.5,5.723,28.76,4.1507
7.6,5.815,29.59,4.2335
7.7,5.889,29.98,4.3001000000000005
7.8,5.942,30.518,4.3478
7.9,6.001,31.006,4.4009
8,6.099,31.641,4.4891000000000005
8.1,6.138,31.885,4.5242000000000004
8.2,6.206,32.324,4.585400000000001
8.3,6.245,32.568,4.6205
8.4,6.343,33.301,4.7087
8.5,6.401,33.691,4.7609
8.6,6.475,34.033,4.8275
8.7,6.543,34.424,4.8887
8.8,6.621,34.961,4.958900000000001
8.9,6.675,35.205,5.0075
9,6.748,35.596,5.0732
9.1,6.787,35.84,5.1083
9.2,6.875,36.328,5.1875
9.3,6.943,36.67,5.2486999999999995
9.4,7.007,37.012,5.3063
9.5,7.065,37.305,5.3585
9.6,7.134,37.695,5.4206
9.7,7.192,37.891,5.4728
9.8,7.266,38.428,5.5394000000000005
9.9,7.314,38.525,5.5826
10,7.383,38.965,5.6447
10.1,7.393,38.965,5.6537
10,7.388,39.063,5.6492000000000004
9.9,7.383,39.063,5.6447
9.8,7.324,39.063,5.5916
9.7,7.275,39.063,5.5475
9.6,7.158,38.867,5.442200000000001
9.5,7.119,38.77,5.4071
9.4,7.061,38.623,5.3549
9.3,6.978,38.428,5.2802
9.2,6.924,38.281,5.2316
9.1,6.865,38.135,5.1785000000000005
9,6.753,37.793,5.0777
8.9,6.724,37.598,5.0516000000000005
8.8,6.665,37.451,4.9985
8.7,6.587,37.109,4.9283
8.6,6.494,36.816,4.8446
8.5,6.465,36.67,4.8185
8.4,6.372,36.377,4.7348
8.3,6.328,36.133,4.695200000000001
8.2,6.25,35.84,4.625
8.1,6.191,35.596,4.5719
8,6.094,35.156,4.4846
7.9,6.064,34.961,4.4576
7.8,5.938,34.473,4.3442
7.7,5.923,34.277,4.3307
7.6,5.845,33.936,4.2604999999999995
7.5,5.801,33.643,4.2209
7.4,5.737,33.301,4.1633000000000004
7.3,5.63,32.813,4.067
7.2,5.591,32.568,4.0319
7.1,5.508,32.129,3.9572000000000003
7,5.464,31.787,3.9176
6.9,5.332,31.104,3.7988
6.8,5.322,30.859,3.7898000000000005
6.7,5.234,30.322,3.7106000000000003
6.6,5.2,30.078,3.6800000000000006
6.5,5.098,29.395,3.5881999999999996
6.4,5.054,29.102,3.5486000000000004
6.3,4.971,28.418,3.4739000000000004
6.2,4.932,28.174,3.4388000000000005
6.1,4.834,27.393,3.3506
6,4.81,27.148,3.3289999999999997
5.9,4.678,26.123,3.2102000000000004
5.8,4.663,25.879,3.1967000000000008
5.7,4.556,25.293,3.1004000000000005
5.6,4.521,24.756,3.0689
5.5,4.39,24.023,2.9509999999999996
5.4,4.375,23.438,2.9375
5.3,4.277,22.852,2.8493000000000004
5.2,4.258,22.314,2.8322000000000003
5.1,4.136,21.68,2.7224000000000004
5,4.106,21.045,2.6954
4.9,4.048,20.41,2.6432
4.8,3.979,19.824,2.5811
4.7,3.896,19.287,2.5064
4.6,3.843,18.408,2.4587
4.5,3.794,17.871,2.4146
4.4,3.677,17.285,2.3093
4.3,3.618,16.357,2.2561999999999998
4.2,3.589,15.967,2.2301
4.1,3.462,14.795,2.1158
4,3.452,14.697,2.1068000000000002
3.9,3.33,13.623,1.9970000000000003
3.8,3.315,13.477,1.9834999999999998
3.7,3.228,12.646,1.9052000000000002
3.6,3.193,12.402,1.8737
3.5,3.096,11.865,1.7864
3.4,3.003,10.986,1.7027
3.3,2.988,10.84,1.6892
3.2,2.856,9.814,1.5703999999999998
3.1,2.852,9.814,1.5667999999999997
3,2.769,9.375,1.4921000000000002
2.9,2.666,8.545,1.3994
2.8,2.656,8.496,1.3904
2.7,2.529,7.715,1.2761
2.6,2.52,7.666,1.2680000000000002
2.5,2.388,6.982,1.1492
2.4,2.383,6.885,1.1447000000000003
2.3,2.256,6.25,1.0303999999999998
2.2,2.256,6.152,1.0303999999999998
2.1,2.188,5.908,0.9692000000000003
2,2.051,5.273,0.8459000000000001
1.9,2.051,5.176,0.8459000000000001
1.8,1.982,5.029,0.7838
1.7,1.851,4.297,0.6658999999999999
1.6,1.851,4.297,0.6658999999999999
1.5,1.787,4.15,0.6083000000000001
1.4,1.65,3.516,0.4849999999999999
1.3,1.646,3.516,0.48140000000000005
1.2,1.602,3.32,0.4418000000000002
1.1,1.445,2.783,0.3005
1,1.445,2.637,0.3005
0.9,1.401,2.588,0.26090000000000013
0.8,1.245,2.051,0.12050000000000005
0.7,1.24,2.002,0.1160000000000001
0.6,1.211,1.904,0.08990000000000009
0.5,1.064,1.563,0
0.4,1.021,1.367,0
0.3,0.996,1.318,0
0.2,0.908,1.074,0
0.1,0.781,0.781,0
0,0.781,0,0
0.1,0.776,0,0
0.2,0.84,0.049,0
0.3,0.918,0.098,0
0.4,1.021,0.244,0
0.5,1.074,0.293,0
0.6,1.138,0.439,0.0242
0.7,1.206,0.586,0.08539999999999992
0.8,1.265,0.684,0.13849999999999985
0.9,1.304,0.83,0.17359999999999998
1,1.416,1.025,0.2744
1.1,1.475,1.172,0.3275000000000001
1.2,1.523,1.318,0.37070000000000003
1.3,1.572,1.465,0.41480000000000006
1.4,1.685,1.709,0.5165000000000002
1.5,1.738,1.855,0.5642
1.6,1.812,2.002,0.6308
1.7,1.875,2.295,0.6875
1.8,1.938,2.441,0.7442
1.9,2.007,2.686,0.8063000000000002
2,2.08,2.881,0.8720000000000001
2.1,2.148,3.125,0.9332000000000003
2.2,2.197,3.32,0.9773000000000001
2.3,2.251,3.516,1.0259
2.4,2.344,3.857,1.1096
2.5,2.412,4.15,1.1707999999999998
2.6,2.476,4.443,1.2284000000000002
2.7,2.505,4.59,1.2545000000000002
2.8,2.603,4.932,1.3427000000000002
2.9,2.681,5.176,1.4129
3,2.744,5.615,1.4696000000000002
3.1,2.798,5.859,1.5182000000000002
3.2,2.852,6.201,1.5667999999999997
3.3,2.954,6.592,1.6586000000000003
3.4,3.008,6.982,1.7072000000000003
3.5,3.071,7.275,1.7639
3.6,3.13,7.666,1.8170000000000002
3.7,3.193,7.959,1.8737
3.8,3.291,8.594,1.9619
3.9,3.345,8.984,2.0105000000000004
4,3.403,9.326,2.0627
4.1,3.462,9.814,2.1158
4.2,3.564,10.303,2.2076000000000002
4.3,3.613,10.791,2.2517
4.4,3.667,11.182,2.3003
4.5,3.73,11.67,2.357
4.6,3.799,12.207,2.4191
4.7,3.892,12.939,2.5028
4.8,3.95,13.33,2.555
4.9,4.009,13.965,2.6081000000000003
5,4.106,14.6,2.6954
5.1,4.146,15.186,2.7314
5.2,4.199,15.771,2.7791
5.3,4.292,16.455,2.8628
5.4,4.355,17.09,2.9195000000000007
5.5,4.399,17.578,2.9591000000000003
5.6,4.492,18.359,3.0427999999999997
5.7,4.556,18.848,3.1004000000000005
5.8,4.614,19.58,3.1525999999999996
5.9,4.683,20.068,3.2146999999999997
6,4.746,20.85,3.2714000000000008
6.1,4.839,21.631,3.3551
6.2,4.873,22.021,3.3857
6.3,4.941,22.51,3.4469000000000003
6.4,5.02,23.242,3.518
6.5,5.088,23.926,3.5792
6.6,5.142,24.316,3.6278000000000006
6.7,5.195,25,3.6755000000000004
6.8,5.288,25.684,3.7592000000000008
6.9,5.356,26.123,3.8204000000000002
7,5.415,26.904,3.8735
7.1,5.454,27.148,3.9086
7.2,5.537,27.93,3.9833
7.3,5.63,28.418,4.067
7.4,5.684,28.955,4.115600000000001
7.5,5.728,29.248,4.1552
7.6,5.796,29.932,4.2164
7.7,5.889,30.371,4.3001000000000005
7.8,5.938,30.859,4.3442
7.9,6.021,31.445,4.4189
8,6.069,31.787,4.4621
8.1,6.143,32.373,4.5287
8.2,6.211,32.715,4.5899
8.3,6.27,33.154,4.643
8.4,6.343,33.496,4.7087
8.5,6.396,33.984,4.7564
8.6,6.47,34.424,4.8229999999999995
8.7,6.538,34.863,4.884200000000001
8.8,6.602,35.107,4.941800000000001
8.9,6.67,35.547,5.003
9,6.738,35.84,5.0642000000000005
9.1,6.797,36.279,5.1173
9.2,6.851,36.523,5.1659
9.3,6.934,36.914,5.240600000000001
9.4,6.982,37.158,5.2838
9.5,7.07,37.646,5.363
9.6,7.1,37.793,5.39
9.7,7.183,38.184,5.4647
9.8,7.178,38.184,5.4602
9.9,7.178,38.232,5.4602
10,7.183,38.281,5.4647
10.1,7.178,38.33,5.4602
10,7.178,38.33,5.4602
9.9,7.173,38.379,5.4557
9.8,7.173,38.379,5.4557
9.7,7.173,38.379,5.4557
9.6,7.173,38.428,5.4557
9.5,7.129,38.428,5.4161
9.4,7.056,38.379,5.3504000000000005
9.3,6.982,38.184,5.2838
9.2,6.919,38.037,5.2271
9.1,6.846,37.842,5.1614
9,6.787,37.646,5.1083
8.9,6.738,37.549,5.0642000000000005
8.8,6.631,37.158,4.9679
8.7,6.587,36.963,4.9283
8.6,6.519,36.719,4.867100000000001
8.5,6.45,36.523,4.805000000000001
8.4,6.382,36.23,4.7438
8.3,6.294,35.986,4.6646
8.2,6.27,35.791,4.643
8.1,6.152,35.352,4.5368
8,6.123,35.156,4.5107
7.9,6.05,34.863,4.445
7.8,5.986,34.473,4.3873999999999995
7.7,5.918,34.229,4.3262
7.6,5.845,33.838,4.2604999999999995
7.5,5.757,33.447,4.1813
7.4,5.732,33.203,4.1588
7.3,5.61,32.617,4.049
7.2,5.591,32.422,4.0319
7.1,5.503,31.982,3.9527
7,5.449,31.641,3.9040999999999997
6.9,5.376,31.25,3.8384
6.8,5.317,30.859,3.7853000000000003
6.7,5.22,30.273,3.6979999999999995
6.6,5.195,29.98,3.6755000000000004
6.5,5.059,29.297,3.5531000000000006
6.4,5.049,28.955,3.5441000000000003
6.3,4.98,28.467,3.482
6.2,4.927,28.076,3.4342999999999995
6.1,4.824,27.295,3.3415999999999997
6,4.79,26.953,3.311
5.9,4.673,26.318,3.2057
5.8,4.653,25.977,3.1876999999999995
5.7,4.526,24.805,3.0734000000000004
5.6,4.517,24.756,3.0653000000000006
5.5,4.429,23.975,2.9861000000000004
5.4,4.385,23.584,2.9465
5.3,4.287,22.656,2.8583
5.2,4.258,22.363,2.8322000000000003
5.1,4.136,21.68,2.7224000000000004
5,4.053,20.557,2.6477
4.9,4.048,20.459,2.6432
4.8,3.96,19.482,2.564
4.7,3.926,19.287,2.5334000000000003
4.6,3.809,18.213,2.4281
