u[V],p[V],s[mm] 
0.000,0.786,-0.049
0.100,0.776,0.000
0.200,0.825,-0.049
0.300,0.942,0.049
0.400,0.981,0.098
0.500,1.060,0.244
0.600,1.104,0.293
0.700,1.191,0.488
0.800,1.250,0.537
0.900,1.323,0.732
1.000,1.382,0.830
1.100,1.436,0.977
1.200,1.548,1.172
1.300,1.592,1.318
1.400,1.655,1.465
1.500,1.719,1.660
1.600,1.807,1.807
1.700,1.860,2.002
1.800,1.938,2.197
1.900,1.992,2.441
2.000,2.070,2.588
2.100,2.124,2.881
2.200,2.188,3.027
2.300,2.246,3.271
2.400,2.344,3.564
2.500,2.397,3.809
2.600,2.446,3.955
2.700,2.515,4.297
2.800,2.612,4.590
2.900,2.666,4.932
3.000,2.715,5.078
3.100,2.788,5.469
3.200,2.881,5.859
3.300,2.939,6.152
3.400,2.983,6.396
3.500,3.057,6.885
3.600,3.154,7.227
3.700,3.193,7.617
3.800,3.252,7.813
3.900,3.325,8.301
4.000,3.418,8.984
4.100,3.452,9.131
4.200,3.535,9.717
4.300,3.628,10.205
4.400,3.662,10.596
4.500,3.706,10.889
4.600,3.789,11.523
4.700,3.882,12.109
4.800,3.931,12.646
4.900,3.989,13.184
5.000,4.077,14.014
5.100,4.116,14.160
5.200,4.194,14.990
5.300,4.282,15.576
5.400,4.321,16.113
5.500,4.404,16.895
5.600,4.487,17.578
5.700,4.531,18.066
5.800,4.609,18.604
5.900,4.658,19.189
6.000,4.722,19.971
6.100,4.800,20.557
6.200,4.858,21.240
6.300,4.932,21.826
6.400,4.995,22.510
6.500,5.039,22.803
6.600,5.127,23.730
6.700,5.205,24.268
6.800,5.259,24.805
6.900,5.322,25.586
7.000,5.396,26.221
7.100,5.454,26.563
7.200,5.532,27.246
7.300,5.615,27.734
7.400,5.664,28.369
7.500,5.742,29.004
7.600,5.815,29.492
7.700,5.859,29.785
7.800,5.942,30.420
7.900,6.011,30.957
8.000,6.074,31.348
8.100,6.152,31.738
8.200,6.196,32.227
8.300,6.279,32.666
8.400,6.338,33.154
8.500,6.406,33.545
8.600,6.479,34.082
8.700,6.543,34.473
8.800,6.616,34.814
8.900,6.665,35.205
9.000,6.743,35.547
9.100,6.816,35.889
9.200,6.875,36.279
9.300,6.948,36.523
9.400,7.002,36.914
9.500,7.075,37.158
9.600,7.129,37.598
9.700,7.202,37.939
9.800,7.256,38.086
9.900,7.334,38.525
10.000,7.402,38.818
10.100,7.397,38.916
10.000,7.402,38.916
9.900,7.397,38.965
9.800,7.324,38.965
9.700,7.275,38.965
9.600,7.158,38.721
9.500,7.119,38.623
9.400,7.031,38.428
9.300,7.002,38.330
9.200,6.914,38.037
9.100,6.855,37.891
9.000,6.772,37.646
8.900,6.729,37.500
8.800,6.660,37.305
8.700,6.592,37.012
8.600,6.504,36.768
8.500,6.455,36.523
8.400,6.343,36.133
8.300,6.328,35.986
8.200,6.250,35.742
8.100,6.196,35.449
8.000,6.089,35.059
7.900,6.064,34.863
7.800,5.952,34.375
7.700,5.933,34.180
7.600,5.845,33.789
7.500,5.791,33.496
7.400,5.688,32.959
7.300,5.654,32.764
7.200,5.566,32.324
7.100,5.527,32.031
7.000,5.439,31.543
6.900,5.391,31.104
6.800,5.332,30.859
6.700,5.244,30.225
6.600,5.190,29.932
6.500,5.107,29.297
6.400,5.029,28.760
6.300,4.995,28.467
6.200,4.893,27.686
6.100,4.858,27.490
6.000,4.766,26.709
5.900,4.727,26.465
5.800,4.634,25.586
5.700,4.590,25.293
5.600,4.492,24.365
5.500,4.468,24.219
5.400,4.351,23.242
5.300,4.316,22.852
5.200,4.209,22.168
5.100,4.189,21.729
5.000,4.063,20.557
4.900,4.053,20.313
4.800,3.950,19.727
4.700,3.921,19.043
4.600,3.813,18.408
4.500,3.779,17.676
4.400,3.696,17.188
4.300,3.657,16.553
4.200,3.550,15.918
4.100,3.481,14.844
4.000,3.457,14.600
