u[V],p[V],s[mm] 
3.900,3.354,14.063
3.800,3.291,13.281
3.700,3.257,12.988
3.600,3.130,11.816
3.500,3.120,11.719
3.400,3.022,11.279
3.300,2.954,10.547
3.200,2.925,10.400
3.100,2.803,9.375
3.000,2.788,9.229
2.900,2.661,8.447
2.800,2.656,8.398
2.700,2.529,7.617
2.600,2.515,7.568
2.500,2.441,7.227
2.400,2.329,6.543
2.300,2.324,6.494
2.200,2.251,6.250
2.100,2.119,5.371
2.000,2.124,5.371
1.900,2.051,5.225
1.800,1.924,4.492
1.700,1.924,4.443
1.600,1.860,4.297
1.500,1.724,3.662
1.400,1.714,3.613
1.300,1.660,3.467
1.200,1.519,2.881
1.100,1.514,2.832
1.000,1.470,2.734
0.900,1.309,2.100
0.800,1.309,2.100
0.700,1.274,2.051
0.600,1.113,1.465
0.500,1.108,1.465
0.400,1.074,1.416
0.300,0.957,1.025
0.200,0.928,0.977
0.100,0.786,0.586
0.000,0.786,0.000
0.100,0.786,0.000
0.200,0.845,0.000
0.300,0.957,0.098
0.400,1.016,0.195
0.500,1.079,0.293
0.600,1.138,0.342
0.700,1.226,0.488
0.800,1.270,0.635
0.900,1.348,0.732
1.000,1.392,0.879
1.100,1.484,1.025
1.200,1.548,1.172
1.300,1.582,1.270
1.400,1.709,1.563
1.500,1.763,1.709
1.600,1.812,1.807
1.700,1.885,2.051
1.800,1.948,2.197
1.900,2.012,2.441
2.000,2.061,2.490
2.100,2.153,2.881
2.200,2.212,2.979
2.300,2.261,3.223
2.400,2.339,3.564
2.500,2.412,3.711
2.600,2.495,4.004
2.700,2.534,4.199
2.800,2.622,4.590
2.900,2.676,4.785
3.000,2.744,5.127
3.100,2.813,5.518
3.200,2.881,5.713
3.300,2.959,6.201
3.400,3.018,6.445
3.500,3.081,6.885
3.600,3.154,7.129
3.700,3.223,7.568
3.800,3.281,7.813
3.900,3.359,8.398
4.000,3.413,8.838
4.100,3.481,9.082
4.200,3.555,9.766
4.300,3.613,10.059
4.400,3.687,10.645
4.500,3.716,10.791
4.600,3.813,11.523
4.700,3.877,12.061
4.800,3.979,12.646
4.900,4.023,13.281
5.000,4.077,13.818
5.100,4.150,14.209
5.200,4.214,14.893
5.300,4.277,15.576
5.400,4.351,16.064
5.500,4.414,16.699
5.600,4.473,17.334
5.700,4.536,17.773
5.800,4.604,18.604
5.900,4.697,19.238
6.000,4.756,20.020
6.100,4.819,20.557
6.200,4.873,21.240
6.300,4.941,21.680
6.400,5.000,22.510
6.500,5.078,23.193
6.600,5.151,23.877
6.700,5.220,24.561
6.800,5.283,25.146
6.900,5.332,25.635
7.000,5.439,26.270
7.100,5.493,26.855
7.200,5.581,27.441
7.300,5.630,27.979
7.400,5.698,28.516
7.500,5.723,28.760
7.600,5.815,29.590
7.700,5.889,29.980
7.800,5.942,30.518
7.900,6.001,31.006
8.000,6.099,31.641
8.100,6.138,31.885
8.200,6.206,32.324
8.300,6.245,32.568
8.400,6.343,33.301
8.500,6.401,33.691
8.600,6.475,34.033
8.700,6.543,34.424
8.800,6.621,34.961
8.900,6.675,35.205
9.000,6.748,35.596
9.100,6.787,35.840
9.200,6.875,36.328
9.300,6.943,36.670
9.400,7.007,37.012
9.500,7.065,37.305
9.600,7.134,37.695
9.700,7.192,37.891
9.800,7.266,38.428
9.900,7.314,38.525
10.000,7.383,38.965
10.100,7.393,38.965
10.000,7.388,39.063
9.900,7.383,39.063
9.800,7.324,39.063
9.700,7.275,39.063
9.600,7.158,38.867
9.500,7.119,38.770
9.400,7.061,38.623
9.300,6.978,38.428
9.200,6.924,38.281
9.100,6.865,38.135
9.000,6.753,37.793
8.900,6.724,37.598
8.800,6.665,37.451
8.700,6.587,37.109
8.600,6.494,36.816
8.500,6.465,36.670
8.400,6.372,36.377
8.300,6.328,36.133
8.200,6.250,35.840
8.100,6.191,35.596
8.000,6.094,35.156
7.900,6.064,34.961
7.800,5.938,34.473
7.700,5.923,34.277
7.600,5.845,33.936
7.500,5.801,33.643
7.400,5.737,33.301
7.300,5.630,32.813
7.200,5.591,32.568
7.100,5.508,32.129
7.000,5.464,31.787
6.900,5.332,31.104
6.800,5.322,30.859
6.700,5.234,30.322
6.600,5.200,30.078
6.500,5.098,29.395
6.400,5.054,29.102
6.300,4.971,28.418
6.200,4.932,28.174
6.100,4.834,27.393
6.000,4.810,27.148
5.900,4.678,26.123
5.800,4.663,25.879
5.700,4.556,25.293
5.600,4.521,24.756
5.500,4.390,24.023
5.400,4.375,23.438
5.300,4.277,22.852
5.200,4.258,22.314
5.100,4.136,21.680
5.000,4.106,21.045
4.900,4.048,20.410
4.800,3.979,19.824
4.700,3.896,19.287
4.600,3.843,18.408
4.500,3.794,17.871
4.400,3.677,17.285
4.300,3.618,16.357
4.200,3.589,15.967
4.100,3.462,14.795
4.000,3.452,14.697
3.900,3.330,13.623
3.800,3.315,13.477
3.700,3.228,12.646
3.600,3.193,12.402
3.500,3.096,11.865
3.400,3.003,10.986
3.300,2.988,10.840
3.200,2.856,9.814
3.100,2.852,9.814
3.000,2.769,9.375
2.900,2.666,8.545
2.800,2.656,8.496
2.700,2.529,7.715
2.600,2.520,7.666
2.500,2.388,6.982
2.400,2.383,6.885
2.300,2.256,6.250
2.200,2.256,6.152
2.100,2.188,5.908
2.000,2.051,5.273
1.900,2.051,5.176
1.800,1.982,5.029
1.700,1.851,4.297
1.600,1.851,4.297
1.500,1.787,4.150
1.400,1.650,3.516
1.300,1.646,3.516
1.200,1.602,3.320
1.100,1.445,2.783
1.000,1.445,2.637
0.900,1.401,2.588
0.800,1.245,2.051
0.700,1.240,2.002
0.600,1.211,1.904
0.500,1.064,1.563
0.400,1.021,1.367
0.300,0.996,1.318
0.200,0.908,1.074
0.100,0.781,0.781
0.000,0.786,0.000
0.100,0.786,0.000
0.200,0.845,0.000
0.300,0.957,0.098
0.400,1.016,0.195
0.500,1.079,0.293
0.600,1.138,0.342
0.700,1.226,0.488
0.800,1.270,0.635
0.900,1.348,0.732
1.000,1.392,0.879
1.100,1.484,1.025
1.200,1.548,1.172
1.300,1.582,1.270
1.400,1.709,1.563
1.500,1.763,1.709
1.600,1.812,1.807
1.700,1.885,2.051
1.800,1.948,2.197
1.900,2.012,2.441
2.000,2.061,2.490
2.100,2.153,2.881
2.200,2.212,2.979
2.300,2.261,3.223
2.400,2.339,3.564
2.500,2.412,3.711
2.600,2.495,4.004
2.700,2.534,4.199
2.800,2.622,4.590
2.900,2.676,4.785
3.000,2.744,5.127
3.100,2.813,5.518
3.200,2.881,5.713
3.300,2.959,6.201
3.400,3.018,6.445
3.500,3.081,6.885
3.600,3.154,7.129
3.700,3.223,7.568
3.800,3.281,7.813
3.900,3.359,8.398
4.000,3.413,8.838
4.100,3.481,9.082
4.200,3.555,9.766
4.300,3.613,10.059
4.400,3.687,10.645
4.500,3.716,10.791
4.600,3.813,11.523
4.700,3.877,12.061
4.800,3.979,12.646
4.900,4.023,13.281
5.000,4.077,13.818
5.100,4.150,14.209
5.200,4.214,14.893
5.300,4.277,15.576
5.400,4.351,16.064
5.500,4.414,16.699
5.600,4.473,17.334
5.700,4.536,17.773
5.800,4.604,18.604
5.900,4.697,19.238
6.000,4.756,20.020
6.100,4.819,20.557
6.200,4.873,21.240
6.300,4.941,21.680
6.400,5.000,22.510
6.500,5.078,23.193
6.600,5.151,23.877
6.700,5.220,24.561
6.800,5.283,25.146
6.900,5.332,25.635
7.000,5.439,26.270
7.100,5.493,26.855
7.200,5.581,27.441
7.300,5.630,27.979
7.400,5.698,28.516
7.500,5.723,28.760
7.600,5.815,29.590
7.700,5.889,29.980
7.800,5.942,30.518
7.900,6.001,31.006
8.000,6.099,31.641
8.100,6.138,31.885
8.200,6.206,32.324
8.300,6.245,32.568
8.400,6.343,33.301
8.500,6.401,33.691
8.600,6.475,34.033
8.700,6.543,34.424
8.800,6.621,34.961
8.900,6.675,35.205
9.000,6.748,35.596
9.100,6.787,35.840
9.200,6.875,36.328
9.300,6.943,36.670
9.400,7.007,37.012
9.500,7.065,37.305
9.600,7.134,37.695
9.700,7.192,37.891
9.800,7.266,38.428
9.900,7.314,38.525
10.000,7.383,38.965
10.100,7.393,38.965
10.000,7.388,39.063
9.900,7.383,39.063
9.800,7.324,39.063
9.700,7.275,39.063
9.600,7.158,38.867
9.500,7.119,38.770
9.400,7.061,38.623
9.300,6.978,38.428
9.200,6.924,38.281
9.100,6.865,38.135
9.000,6.753,37.793
8.900,6.724,37.598
8.800,6.665,37.451
8.700,6.587,37.109
8.600,6.494,36.816
8.500,6.465,36.670
8.400,6.372,36.377
8.300,6.328,36.133
8.200,6.250,35.840
8.100,6.191,35.596
8.000,6.094,35.156
7.900,6.064,34.961
7.800,5.938,34.473
7.700,5.923,34.277
7.600,5.845,33.936
7.500,5.801,33.643
7.400,5.737,33.301
7.300,5.630,32.813
7.200,5.591,32.568
7.100,5.508,32.129
7.000,5.464,31.787
6.900,5.332,31.104
6.800,5.322,30.859
6.700,5.234,30.322
6.600,5.200,30.078
6.500,5.098,29.395
6.400,5.054,29.102
6.300,4.971,28.418
6.200,4.932,28.174
6.100,4.834,27.393
6.000,4.810,27.148
5.900,4.678,26.123
5.800,4.663,25.879
5.700,4.556,25.293
5.600,4.521,24.756
5.500,4.390,24.023
5.400,4.375,23.438
5.300,4.277,22.852
5.200,4.258,22.314
5.100,4.136,21.680
5.000,4.106,21.045
4.900,4.048,20.410
4.800,3.979,19.824
4.700,3.896,19.287
4.600,3.843,18.408
4.500,3.794,17.871
4.400,3.677,17.285
4.300,3.618,16.357
4.200,3.589,15.967
4.100,3.462,14.795
4.000,3.452,14.697
3.900,3.330,13.623
3.800,3.315,13.477
3.700,3.228,12.646
3.600,3.193,12.402
3.500,3.096,11.865
3.400,3.003,10.986
3.300,2.988,10.840
3.200,2.856,9.814
3.100,2.852,9.814
3.000,2.769,9.375
2.900,2.666,8.545
2.800,2.656,8.496
2.700,2.529,7.715
2.600,2.520,7.666
2.500,2.388,6.982
2.400,2.383,6.885
2.300,2.256,6.250
2.200,2.256,6.152
2.100,2.188,5.908
2.000,2.051,5.273
1.900,2.051,5.176
1.800,1.982,5.029
1.700,1.851,4.297
1.600,1.851,4.297
1.500,1.787,4.150
1.400,1.650,3.516
1.300,1.646,3.516
1.200,1.602,3.320
1.100,1.445,2.783
1.000,1.445,2.637
0.900,1.401,2.588
0.800,1.245,2.051
0.700,1.240,2.002
0.600,1.211,1.904
0.500,1.064,1.563
0.400,1.021,1.367
0.300,0.996,1.318
0.200,0.908,1.074
0.100,0.781,0.781
0.000,0.781,0.000
0.100,0.776,0.000
0.200,0.840,0.049
0.300,0.918,0.098
0.400,1.021,0.244
0.500,1.074,0.293
0.600,1.138,0.439
0.700,1.206,0.586
0.800,1.265,0.684
0.900,1.304,0.830
1.000,1.416,1.025
1.100,1.475,1.172
1.200,1.523,1.318
1.300,1.572,1.465
1.400,1.685,1.709
1.500,1.738,1.855
1.600,1.812,2.002
1.700,1.875,2.295
1.800,1.938,2.441
1.900,2.007,2.686
2.000,2.080,2.881
2.100,2.148,3.125
2.200,2.197,3.320
2.300,2.251,3.516
2.400,2.344,3.857
2.500,2.412,4.150
2.600,2.476,4.443
2.700,2.505,4.590
2.800,2.603,4.932
2.900,2.681,5.176
3.000,2.744,5.615
3.100,2.798,5.859
3.200,2.852,6.201
3.300,2.954,6.592
3.400,3.008,6.982
3.500,3.071,7.275
3.600,3.130,7.666
3.700,3.193,7.959
3.800,3.291,8.594
3.900,3.345,8.984
4.000,3.403,9.326
4.100,3.462,9.814
4.200,3.564,10.303
4.300,3.613,10.791
4.400,3.667,11.182
4.500,3.730,11.670
4.600,3.799,12.207
4.700,3.892,12.939
4.800,3.950,13.330
4.900,4.009,13.965
5.000,4.106,14.600
5.100,4.146,15.186
5.200,4.199,15.771
5.300,4.292,16.455
5.400,4.355,17.090
5.500,4.399,17.578
5.600,4.492,18.359
5.700,4.556,18.848
5.800,4.614,19.580
5.900,4.683,20.068
6.000,4.746,20.850
6.100,4.839,21.631
6.200,4.873,22.021
6.300,4.941,22.510
6.400,5.020,23.242
6.500,5.088,23.926
6.600,5.142,24.316
6.700,5.195,25.000
6.800,5.288,25.684
6.900,5.356,26.123
7.000,5.415,26.904
7.100,5.454,27.148
7.200,5.537,27.930
7.300,5.630,28.418
7.400,5.684,28.955
7.500,5.728,29.248
7.600,5.796,29.932
7.700,5.889,30.371
7.800,5.938,30.859
7.900,6.021,31.445
8.000,6.069,31.787
8.100,6.143,32.373
8.200,6.211,32.715
8.300,6.270,33.154
8.400,6.343,33.496
8.500,6.396,33.984
8.600,6.470,34.424
8.700,6.538,34.863
8.800,6.602,35.107
8.900,6.670,35.547
9.000,6.738,35.840
9.100,6.797,36.279
9.200,6.851,36.523
9.300,6.934,36.914
9.400,6.982,37.158
9.500,7.070,37.646
9.600,7.100,37.793
9.700,7.183,38.184
9.800,7.178,38.184
9.900,7.178,38.232
10.000,7.183,38.281
10.100,7.178,38.330
10.000,7.178,38.330
9.900,7.173,38.379
9.800,7.173,38.379
9.700,7.173,38.379
9.600,7.173,38.428
9.500,7.129,38.428
9.400,7.056,38.379
9.300,6.982,38.184
9.200,6.919,38.037
9.100,6.846,37.842
9.000,6.787,37.646
8.900,6.738,37.549
8.800,6.631,37.158
8.700,6.587,36.963
8.600,6.519,36.719
8.500,6.450,36.523
8.400,6.382,36.230
8.300,6.294,35.986
8.200,6.270,35.791
8.100,6.152,35.352
8.000,6.123,35.156
7.900,6.050,34.863
7.800,5.986,34.473
7.700,5.918,34.229
7.600,5.845,33.838
7.500,5.757,33.447
7.400,5.732,33.203
7.300,5.610,32.617
7.200,5.591,32.422
7.100,5.503,31.982
7.000,5.449,31.641
6.900,5.376,31.250
6.800,5.317,30.859
6.700,5.220,30.273
6.600,5.195,29.980
6.500,5.059,29.297
6.400,5.049,28.955
6.300,4.980,28.467
6.200,4.927,28.076
6.100,4.824,27.295
6.000,4.790,26.953
5.900,4.673,26.318
5.800,4.653,25.977
5.700,4.526,24.805
5.600,4.517,24.756
5.500,4.429,23.975
5.400,4.385,23.584
5.300,4.287,22.656
5.200,4.258,22.363
5.100,4.136,21.680
5.000,4.053,20.557
4.900,4.048,20.459
4.800,3.960,19.482
4.700,3.926,19.287
4.600,3.809,18.213
4.500,3.789,17.871
4.400,3.682,17.285
4.300,3.623,16.357
4.200,3.594,16.016
4.100,3.467,14.844
4.000,3.452,14.697
3.900,3.345,13.770
3.800,3.325,13.574
3.700,3.193,12.402
3.600,3.188,12.354
3.500,3.057,11.328
3.400,3.052,11.230
3.300,2.959,10.791
3.200,2.881,10.010
3.100,2.856,9.814
3.000,2.773,9.375
2.900,2.651,8.496
2.800,2.646,8.350
2.700,2.563,8.008
2.600,2.456,7.178
2.500,2.456,7.178
2.400,2.368,6.885
2.300,2.246,6.104
2.200,2.256,6.055
2.100,2.173,5.811
2.000,2.051,5.078
1.900,2.051,5.029
1.800,1.992,4.834
1.700,1.846,4.102
1.600,1.841,4.150
1.500,1.792,3.955
1.400,1.650,3.271
1.300,1.641,3.223
1.200,1.597,3.125
1.100,1.445,2.490
1.000,1.450,2.490
0.900,1.401,2.393
0.800,1.235,1.807
0.700,1.240,1.758
0.600,1.206,1.709
0.500,1.069,1.318
0.400,0.981,0.928
0.300,0.957,0.928
0.200,0.938,0.879
0.100,0.786,0.439
