u[V],p[V],s[mm],p[bar]
2.85,2.69,8.594,1.4209999999999998
2.84,2.681,8.545,1.4129
2.83,2.681,8.545,1.4129
2.82,2.671,8.496,1.4038999999999997
2.81,2.661,8.398,1.3949000000000003
2.8,2.656,8.35,1.3904
2.79,2.651,8.35,1.3859
2.78,2.646,8.301,1.3814000000000002
2.77,2.632,8.301,1.3688000000000002
2.76,2.632,8.203,1.3688000000000002
2.75,2.632,8.203,1.3688000000000002
2.74,2.622,8.203,1.3598
2.73,2.617,8.154,1.3553000000000002
2.72,2.603,8.057,1.3427000000000002
2.71,2.598,8.057,1.3382
2.7,2.593,8.008,1.3336999999999999
2.69,2.583,8.008,1.3247000000000004
2.68,2.573,7.861,1.3157
2.67,2.573,7.861,1.3157
2.66,2.563,7.813,1.3067000000000002
2.65,2.559,7.764,1.3031000000000001
2.64,2.549,7.715,1.2940999999999998
2.63,2.549,7.715,1.2940999999999998
2.62,2.539,7.666,1.2851000000000004
2.61,2.534,7.617,1.2805999999999997
2.6,2.52,7.617,1.2680000000000002
2.59,2.515,7.617,1.2635
2.58,2.51,7.52,1.259
2.57,2.505,7.52,1.2545000000000002
2.56,2.5,7.471,1.25
2.55,2.49,7.422,1.241
2.54,2.48,7.373,1.2320000000000002
2.53,2.48,7.373,1.2320000000000002
2.52,2.471,7.275,1.2239
2.51,2.461,7.227,1.2149
2.5,2.456,7.178,1.2104
2.49,2.456,7.178,1.2104
2.48,2.441,7.129,1.1968999999999999
2.47,2.437,7.129,1.1932999999999998
2.46,2.432,7.08,1.1888
2.45,2.427,7.031,1.1843
2.44,2.417,6.982,1.1753
2.43,2.407,6.934,1.1663000000000001
2.42,2.417,6.934,1.1753
2.41,2.402,6.885,1.1618000000000004
2.4,2.393,6.836,1.1536999999999997
2.39,2.383,6.787,1.1447000000000003
2.38,2.378,6.836,1.1402
2.37,2.373,6.738,1.1357000000000004
2.36,2.358,6.689,1.1222000000000003
2.35,2.354,6.689,1.1186000000000003
2.34,2.344,6.641,1.1096
2.33,2.344,6.592,1.1096
2.32,2.329,6.592,1.0961000000000003
2.31,2.324,6.543,1.0916000000000001
2.3,2.319,6.494,1.0871
2.29,2.314,6.445,1.0826000000000002
2.28,2.31,6.445,1.0790000000000002
2.27,2.305,6.396,1.0745
2.26,2.29,6.348,1.061
2.25,2.29,6.348,1.061
2.24,2.285,6.299,1.0565000000000002
2.23,2.28,6.25,1.052
2.22,2.271,6.201,1.0438999999999998
2.21,2.266,6.201,1.0394
2.2,2.256,6.152,1.0303999999999998
2.19,2.251,6.104,1.0259
2.18,2.241,6.055,1.0169000000000001
2.17,2.236,6.055,1.0124000000000004
2.16,2.231,6.006,1.0078999999999998
2.15,2.217,6.006,0.9953000000000001
2.14,2.212,5.957,0.9908000000000001
2.13,2.207,5.908,0.9863
2.12,2.202,5.859,0.9818
2.11,2.197,5.859,0.9773000000000001
2.1,2.188,5.859,0.9692000000000003
2.09,2.178,5.762,0.9601999999999999
2.08,2.178,5.762,0.9601999999999999
2.07,2.168,5.713,0.9512000000000003
2.06,2.168,5.664,0.9512000000000003
2.05,2.153,5.713,0.9377
2.04,2.148,5.615,0.9332000000000003
2.03,2.148,5.615,0.9332000000000003
2.02,2.144,5.615,0.9296000000000002
2.01,2.129,5.518,0.9161000000000001
2,2.124,5.518,0.9116000000000002
1.99,2.119,5.518,0.9071000000000002
1.98,2.109,5.469,0.8981000000000001
1.97,2.095,5.371,0.8855000000000002
1.96,2.095,5.371,0.8855000000000002
1.95,2.08,5.371,0.8720000000000001
1.94,2.08,5.322,0.8720000000000001
1.93,2.075,5.273,0.8675000000000002
1.92,2.07,5.273,0.863
1.91,2.061,5.273,0.8549
1.9,2.056,5.225,0.8504
1.89,2.041,5.176,0.8369
1.88,2.046,5.127,0.8413999999999999
1.87,2.036,5.127,0.8324
1.86,2.031,5.127,0.8279000000000001
1.85,2.017,5.078,0.8152999999999999
1.84,2.017,4.98,0.8152999999999999
1.83,2.007,4.98,0.8063000000000002
1.82,2.002,5.029,0.8017999999999998
1.81,1.992,4.932,0.7928
1.8,1.982,4.932,0.7838
1.79,1.982,4.883,0.7838
1.78,1.973,4.883,0.7757000000000001
1.77,1.963,4.834,0.7667000000000002
1.76,1.958,4.785,0.7622
1.75,1.953,4.736,0.7577
1.74,1.943,4.736,0.7487000000000001
1.73,1.943,4.688,0.7487000000000001
1.72,1.929,4.688,0.7361
1.71,1.924,4.639,0.7316
1.7,1.924,4.639,0.7316
1.69,1.914,4.59,0.7225999999999999
1.68,1.909,4.541,0.7181
1.67,1.899,4.492,0.7091000000000001
1.66,1.895,4.541,0.7055
1.65,1.885,4.492,0.6965000000000001
1.64,1.885,4.443,0.6965000000000001
1.63,1.875,4.443,0.6875
1.62,1.87,4.395,0.683
1.61,1.86,4.395,0.6740000000000002
1.6,1.86,4.346,0.6740000000000002
1.59,1.846,4.346,0.6614000000000002
1.58,1.841,4.297,0.6569
1.57,1.836,4.248,0.6524000000000001
1.56,1.821,4.248,0.6389
1.55,1.816,4.15,0.6344000000000001
1.54,1.816,4.15,0.6344000000000001
1.53,1.807,4.15,0.6263000000000001
1.52,1.797,4.102,0.6173
1.51,1.797,4.053,0.6173
1.5,1.787,4.053,0.6083000000000001
1.49,1.782,4.102,0.6038000000000001
1.48,1.772,4.004,0.5948
1.47,1.763,4.004,0.5867
1.46,1.763,3.955,0.5867
1.45,1.758,3.955,0.5822
1.44,1.753,3.906,0.5776999999999999
1.43,1.743,3.857,0.5687000000000002
1.42,1.733,3.906,0.5597000000000001
1.41,1.729,3.857,0.5561
1.4,1.724,3.809,0.5516000000000001
1.39,1.719,3.809,0.5471000000000001
1.38,1.714,3.76,0.5426
1.37,1.704,3.76,0.5336000000000001
1.36,1.694,3.662,0.5246
1.35,1.689,3.662,0.5201
1.34,1.675,3.662,0.5075000000000001
1.33,1.665,3.613,0.49850000000000017
1.32,1.655,3.564,0.48950000000000005
1.31,1.65,3.613,0.4849999999999999
1.3,1.646,3.564,0.48140000000000005
1.29,1.641,3.516,0.4769000000000001
1.28,1.636,3.467,0.47239999999999993
1.27,1.626,3.467,0.46340000000000003
1.26,1.626,3.467,0.46340000000000003
1.25,1.616,3.418,0.45440000000000014
1.24,1.611,3.369,0.44989999999999997
1.23,1.602,3.369,0.4418000000000002
1.22,1.597,3.369,0.4373
1.21,1.592,3.32,0.4328000000000001
1.2,1.582,3.32,0.4238000000000002
1.19,1.582,3.223,0.4238000000000002
1.18,1.577,3.223,0.4193
1.17,1.567,3.223,0.4102999999999999
1.16,1.567,3.223,0.4102999999999999
1.15,1.553,3.174,0.39769999999999994
1.14,1.548,3.174,0.3932
1.13,1.533,3.076,0.3796999999999999
1.12,1.528,3.125,0.3752
1.11,1.519,3.076,0.3671
1.1,1.514,3.076,0.36260000000000003
1.09,1.509,3.027,0.35809999999999986
1.08,1.504,3.027,0.35360000000000014
1.07,1.504,2.979,0.35360000000000014
1.06,1.489,2.979,0.34010000000000007
1.05,1.484,2.93,0.3356000000000001
1.04,1.475,2.93,0.3275000000000001
1.03,1.475,2.93,0.3275000000000001
1.02,1.465,2.881,0.3185
1.01,1.46,2.881,0.31400000000000006
1,1.455,2.832,0.3095000000000001
0.99,1.445,2.832,0.3005
0.98,1.44,2.783,0.29600000000000004
0.97,1.436,2.783,0.2924
0.96,1.426,2.734,0.2833999999999999
0.95,1.421,2.734,0.27890000000000015
0.94,1.411,2.686,0.26990000000000003
0.93,1.406,2.686,0.26539999999999986
0.92,1.396,2.637,0.25639999999999996
0.91,1.392,2.588,0.2527999999999999
0.9,1.382,2.637,0.24380000000000002
0.89,1.382,2.588,0.24380000000000002
0.88,1.377,2.588,0.23930000000000007
0.87,1.362,2.539,0.22580000000000022
0.86,1.357,2.539,0.22130000000000005
0.85,1.357,2.539,0.22130000000000005
0.84,1.348,2.49,0.21320000000000006
0.83,1.338,2.441,0.20420000000000016
0.82,1.323,2.49,0.1907000000000001
0.81,1.323,2.393,0.1907000000000001
0.8,1.318,2.393,0.18620000000000014
0.79,1.313,2.344,0.18169999999999997
0.78,1.299,2.344,0.16910000000000003
0.77,1.289,2.344,0.1600999999999999
0.76,1.289,2.295,0.1600999999999999
0.75,1.279,2.295,0.1511
0.74,1.284,2.246,0.15559999999999996
0.73,1.274,2.295,0.14660000000000006
0.72,1.26,2.197,0.13400000000000012
0.71,1.255,2.197,0.12949999999999995
0.7,1.25,2.197,0.125
0.69,1.24,2.197,0.1160000000000001
0.68,1.235,2.148,0.11150000000000015
0.67,1.23,2.1,0.10699999999999998
0.66,1.221,2.148,0.09890000000000021
0.65,1.216,2.1,0.09440000000000004
0.64,1.211,2.051,0.08990000000000009
0.63,1.196,2.051,0.07640000000000002
0.62,1.201,2.002,0.0809000000000002
0.61,1.191,1.953,0.07190000000000007
0.6,1.187,2.002,0.06830000000000003
0.59,1.182,2.002,0.06380000000000008
0.58,1.172,1.953,0.05479999999999996
0.57,1.162,1.953,0.04580000000000006
0.56,1.162,1.904,0.04580000000000006
0.55,1.152,1.904,0.036799999999999944
0.54,1.147,1.904,0.032299999999999995
0.53,1.138,1.855,0.0242
0.52,1.128,1.855,0.01519999999999988
0.51,1.123,1.807,0.010699999999999932
0.5,1.118,1.758,0.006200000000000205
0.49,1.104,1.807,0
0.48,1.099,1.758,0
0.47,1.094,1.758,0
0.46,1.089,1.709,0
0.45,1.079,1.709,0
0.44,1.074,1.66,0
0.43,1.069,1.611,0
0.42,1.06,1.611,0
0.41,1.06,1.563,0
0.4,1.055,1.563,0
0.39,1.045,1.563,0
0.38,1.045,1.563,0
0.37,1.035,1.563,0
0.36,1.04,1.563,0
0.35,1.025,1.514,0
0.34,1.021,1.514,0
0.33,1.016,1.514,0
0.32,1.011,1.465,0
0.31,1.001,1.416,0
0.3,0.996,1.416,0
0.29,0.977,1.416,0
0.28,0.967,1.367,0
0.27,0.967,1.318,0
0.26,0.962,1.318,0
0.25,0.952,1.318,0
0.24,0.947,1.27,0
0.23,0.942,1.27,0
0.22,0.928,1.27,0
0.21,0.918,1.27,0
0.2,0.918,1.172,0
0.19,0.918,1.221,0
0.18,0.913,1.221,0
0.17,0.903,1.172,0
0.16,0.889,1.172,0
0.15,0.889,1.172,0
0.14,0.879,1.074,0
0.13,0.874,1.123,0
0.12,0.869,1.074,0
0.11,0.864,1.074,0
0.1,0.791,0.977,0
0.09,0.791,0.977,0
0.08,0.791,0.928,0
0.07,0.796,0.928,0
0.06,0.791,0.879,0
0.05,0.791,0.879,0
0.04,0.791,0.879,0
0.03,0.791,0.879,0
0.02,0.796,0.879,0
0.01,0.791,0.879,0
0,0.796,0.928,0
0,0.791,0,0
0.01,0.791,-0.049,0
0.02,0.796,-0.049,0
0.03,0.791,-0.049,0
0.04,0.791,-0.049,0
0.05,0.791,-0.049,0
0.06,0.791,-0.049,0
0.07,0.796,-0.049,0
0.08,0.786,-0.049,0
0.09,0.791,-0.049,0
0.1,0.786,-0.049,0
0.11,0.791,-0.049,0
0.12,0.791,-0.049,0
0.13,0.791,-0.049,0
0.14,0.791,-0.049,0
0.15,0.796,0,0
0.16,0.811,-0.049,0
0.17,0.811,-0.049,0
0.18,0.825,-0.049,0
0.19,0.83,-0.049,0
0.2,0.83,-0.049,0
0.21,0.859,0,0
0.22,0.869,-0.049,0
0.23,0.864,0,0
0.24,0.874,-0.049,0
0.25,0.874,0,0
0.26,0.889,-0.049,0
0.27,0.894,0,0
0.28,0.894,-0.049,0
0.29,0.908,0.049,0
0.3,0.903,0,0
0.31,0.913,-0.049,0
0.32,0.923,0.049,0
0.33,0.933,0.049,0
0.34,0.938,0.049,0
0.35,0.942,0,0
0.36,0.957,0.049,0
0.37,0.962,0.098,0
0.38,0.962,0.098,0
0.39,0.981,0.098,0
0.4,0.981,0.098,0
0.41,0.986,0.098,0
0.42,0.991,0.098,0
0.43,1.001,0.098,0
0.44,1.011,0.146,0
0.45,1.011,0.146,0
0.46,1.016,0.146,0
0.47,1.025,0.146,0
0.48,1.04,0.146,0
0.49,1.045,0.195,0
0.5,1.045,0.195,0
0.51,1.055,0.195,0
0.52,1.064,0.195,0
0.53,1.074,0.195,0
0.54,1.074,0.244,0
0.55,1.084,0.244,0
0.56,1.089,0.244,0
0.57,1.094,0.244,0
0.58,1.099,0.293,0
0.59,1.108,0.293,0
0.6,1.118,0.244,0.006200000000000205
0.61,1.118,0.342,0.006200000000000205
0.62,1.128,0.293,0.01519999999999988
0.63,1.138,0.293,0.0242
0.64,1.138,0.293,0.0242
0.65,1.152,0.342,0.036799999999999944
0.66,1.157,0.342,0.041300000000000114
0.67,1.157,0.391,0.041300000000000114
0.68,1.162,0.391,0.04580000000000006
0.69,1.172,0.391,0.05479999999999996
0.7,1.172,0.391,0.05479999999999996
0.71,1.187,0.391,0.06830000000000003
0.72,1.191,0.439,0.07190000000000007
0.73,1.206,0.439,0.08539999999999992
0.74,1.211,0.488,0.08990000000000009
0.75,1.211,0.439,0.08990000000000009
0.76,1.226,0.488,0.10339999999999994
0.77,1.226,0.488,0.10339999999999994
0.78,1.226,0.488,0.10339999999999994
0.79,1.25,0.537,0.125
0.8,1.25,0.537,0.125
0.81,1.25,0.537,0.125
0.82,1.265,0.537,0.13849999999999985
0.83,1.265,0.586,0.13849999999999985
0.84,1.27,0.537,0.14300000000000002
0.85,1.274,0.586,0.14660000000000006
0.86,1.294,0.586,0.16460000000000008
0.87,1.294,0.586,0.16460000000000008
0.88,1.299,0.635,0.16910000000000003
0.89,1.313,0.635,0.18169999999999997
0.9,1.309,0.635,0.17809999999999993
0.91,1.323,0.684,0.1907000000000001
0.92,1.328,0.732,0.19520000000000004
0.93,1.328,0.684,0.19520000000000004
0.94,1.353,0.684,0.2177
0.95,1.357,0.684,0.22130000000000005
0.96,1.357,0.684,0.22130000000000005
0.97,1.367,0.732,0.23029999999999995
0.98,1.372,0.781,0.23480000000000012
0.99,1.377,0.781,0.23930000000000007
1,1.377,0.781,0.23930000000000007
1.01,1.392,0.781,0.2527999999999999
1.02,1.396,0.781,0.25639999999999996
1.03,1.406,0.83,0.26539999999999986
1.04,1.406,0.879,0.26539999999999986
1.05,1.416,0.83,0.2744
1.06,1.416,0.879,0.2744
1.07,1.436,0.928,0.2924
1.08,1.44,0.928,0.29600000000000004
1.09,1.445,0.928,0.3005
1.1,1.445,0.928,0.3005
1.11,1.465,0.928,0.3185
1.12,1.47,0.977,0.32299999999999995
1.13,1.465,0.977,0.3185
1.14,1.479,0.977,0.33110000000000017
1.15,1.484,1.025,0.3356000000000001
1.16,1.489,1.025,0.34010000000000007
1.17,1.504,1.025,0.35360000000000014
1.18,1.509,1.074,0.35809999999999986
1.19,1.514,1.074,0.36260000000000003
1.2,1.523,1.025,0.37070000000000003
1.21,1.519,1.123,0.3671
1.22,1.538,1.123,0.3842000000000001
1.23,1.538,1.172,0.3842000000000001
1.24,1.538,1.172,0.3842000000000001
1.25,1.553,1.172,0.39769999999999994
1.26,1.558,1.172,0.4022000000000001
1.27,1.563,1.221,0.40670000000000006
1.28,1.567,1.172,0.4102999999999999
1.29,1.577,1.27,0.4193
1.3,1.587,1.221,0.4282999999999999
1.31,1.587,1.221,0.4282999999999999
1.32,1.602,1.318,0.4418000000000002
1.33,1.597,1.27,0.4373
1.34,1.611,1.27,0.44989999999999997
1.35,1.616,1.318,0.45440000000000014
1.36,1.626,1.318,0.46340000000000003
1.37,1.631,1.318,0.4679
1.38,1.641,1.367,0.4769000000000001
1.39,1.646,1.367,0.48140000000000005
1.4,1.646,1.416,0.48140000000000005
1.41,1.655,1.416,0.48950000000000005
1.42,1.66,1.416,0.494
1.43,1.675,1.465,0.5075000000000001
1.44,1.685,1.465,0.5165000000000002
1.45,1.68,1.465,0.512
1.46,1.699,1.514,0.5291000000000001
1.47,1.709,1.514,0.5381
1.48,1.704,1.514,0.5336000000000001
1.49,1.724,1.563,0.5516000000000001
1.5,1.719,1.611,0.5471000000000001
1.51,1.719,1.611,0.5471000000000001
1.52,1.738,1.66,0.5642
1.53,1.743,1.66,0.5687000000000002
1.54,1.743,1.66,0.5687000000000002
1.55,1.763,1.66,0.5867
1.56,1.763,1.66,0.5867
1.57,1.768,1.709,0.5912
1.58,1.768,1.709,0.5912
1.59,1.792,1.709,0.6128
1.6,1.792,1.758,0.6128
1.61,1.792,1.758,0.6128
1.62,1.812,1.758,0.6308
1.63,1.812,1.807,0.6308
1.64,1.812,1.807,0.6308
1.65,1.826,1.855,0.6434000000000002
1.66,1.831,1.807,0.6478999999999999
1.67,1.836,1.855,0.6524000000000001
1.68,1.846,1.855,0.6614000000000002
1.69,1.841,1.904,0.6569
1.7,1.86,1.904,0.6740000000000002
1.71,1.86,1.953,0.6740000000000002
1.72,1.865,1.953,0.6785000000000001
1.73,1.885,2.002,0.6965000000000001
1.74,1.885,2.002,0.6965000000000001
1.75,1.885,2.002,0.6965000000000001
1.76,1.899,2.051,0.7091000000000001
1.77,1.899,2.002,0.7091000000000001
1.78,1.914,2.051,0.7225999999999999
1.79,1.919,2.1,0.7271000000000001
1.8,1.919,2.1,0.7271000000000001
1.81,1.938,2.1,0.7442
1.82,1.938,2.197,0.7442
1.83,1.938,2.197,0.7442
1.84,1.953,2.148,0.7577
1.85,1.963,2.197,0.7667000000000002
1.86,1.968,2.246,0.7712000000000001
1.87,1.968,2.246,0.7712000000000001
1.88,1.978,2.295,0.7802
1.89,1.992,2.246,0.7928
1.9,1.987,2.295,0.7883000000000002
1.91,1.992,2.295,0.7928
1.92,2.012,2.393,0.8108
1.93,2.017,2.393,0.8152999999999999
1.94,2.017,2.344,0.8152999999999999
1.95,2.021,2.393,0.8189
1.96,2.041,2.441,0.8369
1.97,2.041,2.49,0.8369
1.98,2.041,2.49,0.8369
1.99,2.07,2.539,0.863
2,2.07,2.539,0.863
2.01,2.07,2.539,0.863
2.02,2.08,2.539,0.8720000000000001
2.03,2.09,2.588,0.881
2.04,2.09,2.637,0.881
2.05,2.09,2.637,0.881
2.06,2.104,2.637,0.8936000000000002
2.07,2.109,2.734,0.8981000000000001
2.08,2.109,2.637,0.8981000000000001
2.09,2.119,2.734,0.9071000000000002
2.1,2.129,2.686,0.9161000000000001
2.11,2.134,2.734,0.9205999999999999
2.12,2.139,2.783,0.9250999999999998
2.13,2.148,2.783,0.9332000000000003
2.14,2.148,2.783,0.9332000000000003
2.15,2.163,2.832,0.9466999999999999
2.16,2.168,2.832,0.9512000000000003
2.17,2.168,2.881,0.9512000000000003
2.18,2.192,2.93,0.9728000000000001
2.19,2.192,2.93,0.9728000000000001
2.2,2.197,2.979,0.9773000000000001
2.21,2.207,2.979,0.9863
2.22,2.202,2.979,0.9818
2.23,2.207,3.027,0.9863
2.24,2.217,3.076,0.9953000000000001
2.25,2.236,3.076,1.0124000000000004
2.26,2.236,3.076,1.0124000000000004
2.27,2.236,3.076,1.0124000000000004
2.28,2.251,3.076,1.0259
2.29,2.246,3.125,1.0213999999999999
2.3,2.261,3.174,1.0349000000000004
2.31,2.266,3.174,1.0394
2.32,2.28,3.223,1.052
2.33,2.28,3.223,1.052
2.34,2.275,3.223,1.0474999999999999
2.35,2.305,3.32,1.0745
2.36,2.305,3.32,1.0745
2.37,2.3,3.32,1.0699999999999998
2.38,2.314,3.369,1.0826000000000002
2.39,2.319,3.369,1.0871
2.4,2.319,3.418,1.0871
2.41,2.334,3.418,1.1006
2.42,2.334,3.418,1.1006
2.43,2.354,3.516,1.1186000000000003
2.44,2.354,3.516,1.1186000000000003
2.45,2.354,3.516,1.1186000000000003
2.46,2.368,3.564,1.1311999999999998
2.47,2.363,3.564,1.1267
2.48,2.383,3.564,1.1447000000000003
2.49,2.388,3.662,1.1492
2.5,2.393,3.711,1.1536999999999997
2.51,2.397,3.662,1.1572999999999998
2.52,2.412,3.711,1.1707999999999998
2.53,2.407,3.76,1.1663000000000001
2.54,2.432,3.76,1.1888
2.55,2.437,3.857,1.1932999999999998
2.56,2.427,3.809,1.1843
2.57,2.446,3.857,1.2014
2.58,2.446,3.857,1.2014
2.59,2.466,3.906,1.2194000000000003
2.6,2.466,3.906,1.2194000000000003
2.61,2.461,3.955,1.2149
2.62,2.471,3.955,1.2239
2.63,2.476,4.004,1.2284000000000002
2.64,2.49,4.004,1.241
2.65,2.49,4.053,1.241
2.66,2.5,4.053,1.25
2.67,2.505,4.102,1.2545000000000002
2.68,2.524,4.15,1.2716000000000003
2.69,2.529,4.199,1.2761
2.7,2.529,4.199,1.2761
2.71,2.539,4.199,1.2851000000000004
2.72,2.539,4.199,1.2851000000000004
2.73,2.549,4.297,1.2940999999999998
2.74,2.544,4.297,1.2896
2.75,2.559,4.297,1.3031000000000001
2.76,2.563,4.297,1.3067000000000002
2.77,2.568,4.346,1.3112
2.78,2.568,4.395,1.3112
2.79,2.598,4.443,1.3382
2.8,2.598,4.492,1.3382
2.81,2.598,4.443,1.3382
2.82,2.612,4.541,1.3508
2.83,2.617,4.541,1.3553000000000002
2.84,2.617,4.59,1.3553000000000002
2.85,2.622,4.59,1.3598
2.86,2.646,4.639,1.3814000000000002
2.87,2.642,4.688,1.3778000000000001
2.88,2.646,4.688,1.3814000000000002
2.89,2.661,4.736,1.3949000000000003
2.9,2.661,4.736,1.3949000000000003
2.91,2.661,4.736,1.3949000000000003
2.92,2.676,4.785,1.4084000000000003
2.93,2.676,4.834,1.4084000000000003
2.94,2.681,4.834,1.4129
2.95,2.69,4.834,1.4209999999999998
2.96,2.695,4.883,1.4255
2.97,2.715,4.932,1.4434999999999998
2.98,2.715,4.98,1.4434999999999998
2.99,2.71,5.029,1.439
3,2.739,5.078,1.4651
3.01,2.739,5.078,1.4651
3.02,2.734,5.078,1.4606
3.03,2.754,5.127,1.4786000000000001
3.04,2.754,5.127,1.4786000000000001
3.05,2.773,5.225,1.4957000000000003
3.06,2.773,5.273,1.4957000000000003
3.07,2.769,5.225,1.4921000000000002
3.08,2.783,5.322,1.5047000000000001
3.09,2.783,5.322,1.5047000000000001
3.1,2.793,5.322,1.5137
3.11,2.817,5.42,1.5353000000000003
3.12,2.817,5.42,1.5353000000000003
3.13,2.822,5.469,1.5398
3.14,2.822,5.469,1.5398
3.15,2.822,5.469,1.5398
3.16,2.842,5.566,1.5578000000000003
3.17,2.856,5.566,1.5703999999999998
3.18,2.847,5.566,1.5623
3.19,2.861,5.615,1.5749000000000004
3.2,2.856,5.664,1.5703999999999998
3.21,2.881,5.713,1.5928999999999998
3.22,2.881,5.713,1.5928999999999998
3.23,2.886,5.762,1.5974000000000004
3.24,2.896,5.811,1.6063999999999998
3.25,2.896,5.811,1.6063999999999998
3.26,2.91,5.859,1.6190000000000002
3.27,2.91,5.908,1.6190000000000002
3.28,2.925,5.908,1.6324999999999998
3.29,2.92,5.957,1.6280000000000001
3.3,2.935,6.006,1.6415000000000002
3.31,2.939,6.055,1.6451000000000002
3.32,2.949,6.104,1.6541000000000001
3.33,2.944,6.104,1.6496
3.34,2.954,6.104,1.6586000000000003
3.35,2.959,6.152,1.6631
3.36,2.979,6.25,1.6811000000000003
3.37,2.979,6.25,1.6811000000000003
3.38,2.983,6.25,1.6847000000000003
3.39,2.988,6.299,1.6892
3.4,2.988,6.348,1.6892
3.41,3.003,6.299,1.7027
3.42,3.003,6.396,1.7027
3.43,3.022,6.445,1.7197999999999998
3.44,3.018,6.494,1.7161999999999997
3.45,3.027,6.494,1.7243000000000004
3.46,3.042,6.543,1.7378
3.47,3.042,6.592,1.7378
3.48,3.047,6.592,1.7423000000000002
3.49,3.052,6.641,1.7468
3.5,3.071,6.738,1.7639
3.51,3.066,6.738,1.7593999999999999
3.52,3.096,6.787,1.7864
3.53,3.096,6.885,1.7864
3.54,3.096,6.885,1.7864
3.55,3.096,6.885,1.7864
3.56,3.11,6.885,1.799
3.57,3.11,6.934,1.799
3.58,3.115,6.982,1.8035
3.59,3.14,7.031,1.826
3.6,3.135,7.08,1.8215
3.61,3.14,7.08,1.826
3.62,3.14,7.129,1.826
3.63,3.159,7.178,1.8430999999999997
3.64,3.159,7.227,1.8430999999999997
3.65,3.169,7.275,1.8521
3.66,3.164,7.324,1.8476000000000004
3.67,3.188,7.373,1.8692000000000002
3.68,3.188,7.422,1.8692000000000002
3.69,3.198,7.422,1.8782
3.7,3.193,7.422,1.8737
3.71,3.198,7.471,1.8782
3.72,3.223,7.568,1.9007
3.73,3.218,7.617,1.8961999999999999
3.74,3.228,7.617,1.9052000000000002
3.75,3.228,7.568,1.9052000000000002
3.76,3.247,7.715,1.9223
3.77,3.247,7.715,1.9223
3.78,3.252,7.764,1.9268
3.79,3.262,7.813,1.9358
3.8,3.262,7.813,1.9358
3.81,3.276,7.91,1.9484
3.82,3.276,7.91,1.9484
3.83,3.286,7.91,1.9574000000000003
3.84,3.281,7.959,1.9529
3.85,3.306,8.057,1.9754
3.86,3.311,8.057,1.9799000000000002
3.87,3.315,8.105,1.9834999999999998
3.88,3.325,8.154,1.9925000000000002
3.89,3.325,8.203,1.9925000000000002
3.9,3.335,8.203,2.0015
3.91,3.345,8.252,2.0105000000000004
3.92,3.34,8.301,2.006
3.93,3.359,8.35,2.0231
3.94,3.364,8.398,2.0276
3.95,3.354,8.447,2.0186
3.96,3.384,8.496,2.0456
3.97,3.384,8.594,2.0456
3.98,3.384,8.594,2.0456
3.99,3.394,8.594,2.0546
4,3.394,8.643,2.0546
4.01,3.408,8.691,2.0672
4.02,3.408,8.691,2.0672
4.03,3.438,8.789,2.0942000000000003
4.04,3.433,8.789,2.0897
4.05,3.433,8.838,2.0897
4.06,3.433,8.838,2.0897
4.07,3.467,8.984,2.1203000000000003
4.08,3.457,8.984,2.1113
4.09,3.462,9.033,2.1158
4.1,3.477,9.082,2.1292999999999997
4.11,3.472,9.082,2.1248
4.12,3.486,9.131,2.1374000000000004
4.13,3.481,9.18,2.1329
4.14,3.501,9.229,2.1509
4.15,3.501,9.277,2.1509
4.16,3.511,9.375,2.1599000000000004
4.17,3.511,9.375,2.1599000000000004
4.18,3.53,9.424,2.177
4.19,3.525,9.424,2.1725
4.2,3.54,9.521,2.186
4.21,3.54,9.521,2.186
4.22,3.555,9.619,2.1995
4.23,3.555,9.668,2.1995
4.24,3.56,9.717,2.204
4.25,3.564,9.717,2.2076000000000002
4.26,3.574,9.766,2.2166
4.27,3.574,9.814,2.2166
4.28,3.608,9.912,2.2472000000000003
4.29,3.604,9.961,2.2436000000000003
4.3,3.599,10.059,2.2391
4.31,3.604,10.059,2.2436000000000003
4.32,3.628,10.107,2.2652
4.33,3.633,10.107,2.2697000000000003
4.34,3.628,10.107,2.2652
4.35,3.643,10.205,2.2786999999999997
4.36,3.643,10.254,2.2786999999999997
4.37,3.647,10.303,2.2822999999999998
4.38,3.662,10.4,2.2958
4.39,3.657,10.449,2.2913
4.4,3.672,10.449,2.3048
4.41,3.672,10.498,2.3048
4.42,3.687,10.596,2.3183
4.43,3.687,10.645,2.3183
4.44,3.687,10.596,2.3183
4.45,3.711,10.693,2.3399
4.46,3.711,10.742,2.3399
4.47,3.706,10.791,2.3354
4.48,3.726,10.84,2.3534
4.49,3.73,10.889,2.357
4.5,3.73,10.938,2.357
4.51,3.75,10.986,2.375
4.52,3.75,11.035,2.375
4.53,3.755,11.084,2.3795
4.54,3.765,11.133,2.3885
4.55,3.774,11.133,2.3966000000000003
4.56,3.779,11.182,2.4011
4.57,3.779,11.23,2.4011
4.58,3.804,11.328,2.4236
4.59,3.799,11.377,2.4191
4.6,3.804,11.426,2.4236
4.61,3.813,11.475,2.4317
4.62,3.809,11.475,2.4281
4.63,3.833,11.572,2.4497000000000004
4.64,3.833,11.621,2.4497000000000004
4.65,3.833,11.67,2.4497000000000004
4.66,3.833,11.67,2.4497000000000004
4.67,3.853,11.719,2.4677000000000002
