u[V],s[mm],p[bar],t[ms] 
0.000,0.000,0.000,0.000
4.460,-0.060,-0.280,0.000
4.460,-0.060,-0.280,605851712.483
4.460,-0.060,-0.280,20.015
4.460,-0.060,-0.280,9.902
4.460,-0.060,-0.280,10.009
4.460,-0.060,-0.280,10.091
4.460,-0.060,-0.280,9.904
4.460,-0.060,-0.280,10.077
4.460,-0.060,-0.280,9.913
4.460,-0.060,-0.280,10.010
4.460,-0.060,-0.280,10.075
4.460,-0.060,-0.280,9.914
4.460,-0.060,-0.280,10.011
4.460,-0.060,-0.280,10.083
4.460,-0.060,-0.280,9.909
4.460,-0.060,-0.220,10.009
4.460,-0.000,-0.140,9.987
4.460,0.060,-0.060,10.014
4.460,0.140,0.000,10.086
4.460,0.260,0.080,9.906
4.460,0.360,0.160,10.008
4.460,0.480,0.240,9.986
4.460,0.600,0.320,10.013
4.460,0.740,0.380,10.069
4.460,0.860,0.460,9.921
4.460,1.000,0.540,10.012
4.460,1.160,0.600,10.076
4.460,1.300,0.680,9.912
4.460,1.460,0.740,10.008
4.460,1.620,0.820,9.988
4.460,1.800,0.900,10.013
4.460,1.980,0.960,10.095
4.460,2.160,1.020,9.896
4.460,2.360,1.100,10.010
4.460,2.540,1.180,10.067
4.460,2.760,1.240,9.920
4.460,2.960,1.300,10.013
4.460,3.180,1.380,10.078
4.460,3.400,1.440,9.909
4.460,3.620,1.520,10.012
4.460,3.860,1.580,10.082
4.460,4.100,1.640,9.910
4.460,4.340,1.700,10.009
4.460,4.600,1.780,9.986
4.460,4.860,1.840,10.013
4.460,5.140,1.920,10.064
4.460,5.400,1.980,9.920
4.460,5.700,2.040,10.018
4.460,5.980,2.100,10.074
4.460,6.260,2.160,9.915
4.460,6.560,2.220,10.011
4.460,6.820,2.260,10.084
4.460,6.940,2.280,9.905
4.460,7.020,2.280,10.007
4.460,7.100,2.280,9.997
4.460,7.140,2.280,10.017
4.460,7.180,2.280,9.974
4.460,7.220,2.280,10.012
4.460,7.240,2.280,10.070
4.460,7.260,2.280,9.920
4.460,7.280,2.280,10.011
4.460,7.320,2.280,9.988
4.460,7.360,2.280,10.011
4.460,7.420,2.280,10.111
4.460,7.440,2.280,9.890
4.460,7.480,2.280,10.074
4.460,7.500,2.280,9.917
4.460,7.520,2.280,10.010
4.460,7.540,2.280,10.092
4.460,7.560,2.280,9.897
4.460,7.580,2.280,10.018
4.460,7.580,2.280,9.980
4.460,7.600,2.280,10.022
4.460,7.620,2.280,10.062
4.460,7.640,2.280,9.925
4.460,7.660,2.280,10.017
4.460,7.680,2.280,10.064
4.460,7.700,2.280,9.911
4.460,7.720,2.280,10.023
4.460,7.740,2.300,9.977
4.460,7.760,2.300,10.022
4.460,7.780,2.300,10.062
4.460,7.800,2.300,9.928
4.460,7.800,2.300,10.009
4.460,7.820,2.300,9.981
4.460,7.840,2.300,10.020
4.460,7.840,2.300,10.062
4.460,7.860,2.300,9.922
4.460,7.860,2.300,10.008
4.460,7.880,2.300,10.072
4.460,7.880,2.300,9.923
4.460,7.900,2.300,10.011
4.460,7.920,2.300,9.983
4.460,7.920,2.300,10.017
4.460,7.940,2.300,10.073
4.460,7.960,2.300,9.910
4.460,7.980,2.300,10.013
4.460,7.980,2.300,9.984
4.460,8.000,2.300,10.015
4.460,8.020,2.300,10.093
4.460,8.020,2.300,9.903
4.460,8.040,2.300,10.000
4.460,8.040,2.300,10.000
4.460,8.060,2.300,10.002
4.460,8.060,2.300,10.068
4.460,8.080,2.300,9.921
4.460,8.080,2.300,10.012
2.190,8.080,2.300,10.074
2.190,8.100,2.300,9.917
2.190,8.100,2.300,10.010
2.190,8.120,2.300,10.094
2.190,8.120,2.300,9.898
2.190,8.120,2.280,10.008
2.190,8.120,2.280,9.984
2.190,8.120,2.280,10.014
2.190,8.120,2.280,10.070
2.190,8.120,2.260,9.924
2.190,8.120,2.260,10.009
2.190,8.100,2.240,10.071
2.190,7.960,2.200,9.919
2.190,7.800,2.140,10.008
2.190,7.660,2.100,9.986
2.190,7.500,2.040,10.013
2.190,7.340,2.000,10.065
2.190,7.180,1.960,9.923
2.190,7.020,1.920,10.016
2.190,6.860,1.880,10.070
2.190,6.720,1.840,9.915
2.190,6.560,1.800,10.011
2.190,6.400,1.740,10.070
2.190,6.260,1.700,9.920
2.190,6.120,1.680,10.010
2.190,5.960,1.640,10.090
2.190,5.840,1.600,9.902
2.190,5.700,1.560,10.007
2.190,5.560,1.520,9.988
2.190,5.440,1.480,10.015
2.190,5.300,1.460,10.071
2.190,5.180,1.420,9.923
2.190,5.040,1.380,10.005
2.190,4.920,1.340,10.067
2.190,4.800,1.320,9.922
2.190,4.680,1.280,10.017
2.190,4.580,1.260,10.063
2.190,4.500,1.240,9.919
2.190,4.440,1.220,10.011
2.190,4.400,1.220,9.996
2.190,4.380,1.220,10.007
2.190,4.340,1.200,10.000
2.190,4.320,1.200,9.984
2.190,4.300,1.200,10.018
2.190,4.300,1.200,10.063
2.190,4.280,1.200,9.919
2.190,4.260,1.200,10.014
2.190,4.260,1.200,10.101
2.190,4.240,1.180,9.890
2.190,4.240,1.180,10.085
2.190,4.220,1.180,9.913
2.190,4.220,1.180,10.013
2.190,4.200,1.180,10.066
2.190,4.200,1.180,9.919
2.190,4.180,1.180,10.012
2.190,4.180,1.180,10.079
2.190,4.180,1.180,9.918
2.190,4.160,1.180,10.004
2.190,4.160,1.180,9.986
2.190,4.140,1.180,10.013
2.190,4.140,1.180,10.073
2.190,4.140,1.180,9.917
2.190,4.140,1.180,10.012
2.190,4.120,1.160,10.064
2.190,4.120,1.160,9.922
2.190,4.100,1.160,10.013
2.190,4.100,1.160,10.083
2.190,4.100,1.160,9.907
2.190,4.100,1.160,10.009
2.190,4.080,1.160,9.992
2.190,4.080,1.160,10.010
2.190,4.080,1.160,10.090
2.190,4.080,1.160,9.897
2.190,4.060,1.160,10.012
2.190,4.060,1.160,9.987
2.190,4.060,1.160,10.012
2.190,4.060,1.160,10.074
2.190,4.040,1.160,9.920
2.190,4.040,1.160,10.019
2.190,4.040,1.160,9.980
2.190,4.040,1.160,10.008
2.190,4.020,1.140,10.064
2.190,4.020,1.140,9.923
2.190,4.020,1.140,10.011
2.190,4.020,1.140,10.004
2.190,4.020,1.140,9.989
2.190,4.000,1.140,10.006
2.190,4.000,1.140,10.088
2.190,4.000,1.140,9.903
2.190,4.000,1.140,10.010
2.190,4.000,1.140,10.107
2.190,3.980,1.140,9.885
2.190,3.980,1.140,10.010
2.190,3.980,1.140,10.067
2.190,3.980,1.140,9.920
2.190,3.980,1.140,10.018
2.190,3.980,1.140,10.089
2.190,3.960,1.140,9.893
2.190,3.960,1.140,10.013
2.190,3.960,1.120,9.985
2.190,3.960,1.120,10.013
2.190,3.960,1.120,10.074
2.190,3.960,1.120,9.916
2.190,3.940,1.120,10.010
2.190,3.940,1.120,9.987
2.190,3.940,1.120,10.010
2.190,3.940,1.120,10.080
1.611,3.940,1.120,9.930
1.611,3.940,1.120,10.071
1.611,3.920,1.120,9.916
1.611,3.920,1.120,10.007
1.611,3.860,1.080,10.077
1.611,3.760,1.060,9.913
1.611,3.660,1.020,10.008
1.611,3.580,0.980,9.988
1.611,3.480,0.960,10.013
1.611,3.400,0.920,10.080
1.611,3.320,0.900,9.910
1.611,3.260,0.880,10.016
1.611,3.220,0.880,9.979
1.611,3.200,0.880,10.016
1.611,3.180,0.860,10.065
1.611,3.160,0.860,9.925
1.611,3.120,0.840,10.010
1.611,3.120,0.840,10.068
1.611,3.100,0.840,9.921
1.611,3.100,0.840,10.011
1.611,3.080,0.840,10.071
1.611,3.080,0.840,9.918
1.611,3.060,0.840,10.009
1.611,3.060,0.840,10.102
1.611,3.060,0.840,9.890
1.611,3.060,0.840,10.078
1.611,3.040,0.840,9.920
1.611,3.040,0.840,10.012
1.611,3.020,0.840,10.073
1.611,3.020,0.840,9.916
1.611,3.020,0.820,10.009
1.611,3.000,0.820,10.082
1.611,3.000,0.820,9.912
1.611,3.000,0.820,10.009
1.611,2.980,0.820,9.987
1.611,2.980,0.820,10.013
1.611,2.980,0.820,10.073
1.611,2.980,0.820,9.917
1.611,2.960,0.820,10.010
1.611,2.960,0.820,10.094
1.611,2.960,0.820,9.905
1.611,2.960,0.820,10.071
1.611,2.940,0.800,9.919
1.611,2.940,0.800,10.009
1.611,2.940,0.800,10.107
1.611,2.940,0.800,9.901
1.611,2.920,0.800,10.071
1.611,2.920,0.800,9.912
1.611,2.920,0.800,10.010
1.611,2.920,0.800,10.069
1.611,2.900,0.800,9.922
1.611,2.900,0.800,10.011
1.611,2.900,0.800,10.065
1.611,2.900,0.800,9.922
1.611,2.900,0.800,10.012
1.611,2.900,0.800,10.069
1.611,2.880,0.800,9.919
1.611,2.880,0.800,10.012
1.611,2.880,0.800,9.987
1.611,2.880,0.800,10.013
1.611,2.880,0.800,9.986
1.611,2.880,0.800,10.013
1.611,2.860,0.800,10.072
1.611,2.860,0.780,9.915
1.611,2.860,0.780,10.012
1.611,2.860,0.780,10.082
1.611,2.860,0.780,9.908
1.611,2.840,0.780,10.077
1.611,2.840,0.780,9.920
1.611,2.840,0.780,10.012
1.611,2.840,0.780,10.083
1.611,2.840,0.780,9.910
1.611,2.820,0.780,10.015
1.611,2.820,0.780,9.981
1.611,2.820,0.780,10.013
1.611,2.820,0.780,10.090
1.611,2.820,0.780,9.907
1.611,2.820,0.780,10.004
1.611,2.800,0.780,9.984
1.611,2.800,0.780,10.016
1.611,2.800,0.780,10.075
1.611,2.800,0.780,9.913
1.611,2.800,0.780,10.011
1.611,2.800,0.780,10.104
1.611,2.780,0.780,9.885
1.611,2.780,0.760,10.013
1.611,2.780,0.760,10.066
1.611,2.780,0.760,9.920
1.611,2.780,0.760,10.012
1.611,2.780,0.760,10.074
1.611,2.780,0.760,9.915
1.611,2.760,0.760,10.012
1.611,2.760,0.760,10.080
1.611,2.760,0.760,9.914
1.611,2.760,0.760,10.013
1.611,2.760,0.760,9.981
1.611,2.760,0.760,10.015
1.611,2.760,0.760,10.063
1.611,2.760,0.760,9.925
1.611,2.740,0.760,10.010
1.611,2.740,0.760,10.084
1.611,2.740,0.760,9.912
1.611,2.740,0.760,10.074
