xref[mm],s[mm],p[bar],u[V],t[ms] 
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
